expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 除[のぞ]く	のぞく	717	除く		[sound:yomichan_audio_のぞく_除く.mp3]	trừ, loại trừ	TRỪ			  取[と]り＿<br>	<br>											<ol><li> この 機械[きかい]は 空気中[くうきちゅう]の 有害[ゆうがい] 物質[ぶっしつ]を 取[と]り 除[のぞ]く 作用[さよう]がある。</li><li>  彼[かれ]を 除[のぞ]いて 全員[ぜんいん] 満点[まんてん]だった。</li><li> 「 年中[ねんじゅう] 無休[むきゅう]。ただし 元旦[がんたん]を 除[のぞ]く」</li></ol>	<ol><li>Loại máy này có tác dụng tiêu diệt những côn trùng gây hại trong không trung.</li><li>Loại trừ anh ấy, mọi người đều đạt điểm tuyệt đối.</li><li>Mở cửa suốt năm ngoại trừ mồng 1 tết.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 省[はぶ]く	はぶく	718	省く		[sound:yomichan_audio_はぶく_省く.mp3]	cắt giảm, loại bỏ; lược bớt	TỈNH									  省略[しょうりゃく]する<br>	<br>					<ol><li> 「 表[ひょう]1はあまり 関係[かんけい]ないので 資料[しりょう]から 省[はぶ]きましょう」</li><li>  彼女[かのじょ]は 裁判[さいばん]で 大事[だいじ]なところを 省[はぶ]いて 証言[しょうげん]した。</li><li> ｛ 手間[てま]/ 時間[じかん]/ 労力[ろうりょく]/ 出費[しゅっぴ]…｝を 省[はぶ]く。</li></ol>	<ol><li>Bảng 1 không liên quan lắm nên hãy lược bớt khỏi tài liệu đi.</li><li>Cô ấy đã khai lược bớt điều quan trọng tại phiên tòa.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 誤[あやま]る	あやまる	719	誤る		[sound:yomichan_audio_あやまる_誤る.mp3]	mắc lỗi	NGỘ													  誤[あやま]り<br>	<br>	<ol><li>  運転[うんてん]を 誤[あやま]って、 事故[じこ]を 起[お]こしてしまった。</li><li>  山[やま]でリーダーが 判断[はんだん]を 誤[あやま]ると 遭難[そうなん]する 恐[おそ]れがある。</li><li>  誤[あやま]って 花瓶[かびん]を 壊[こわ]してしまった。</li></ol>	<ol><li>Phạm lỗi trong lái xe nên gây ra tai nạn.</li><li>Ở trên núi, nếu người dẫn đầu phán đoán sai thì có thể gặp thảm họa.</li><li>Lỡ làm bể bình hoa.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 奪[うば]う	うばう	720	奪う		[sound:yomichan_audio_うばう_奪う.mp3]	cướp đoạt, trấn lột	ĐOẠT															<ol><li> コンビニで 強盗[ごうとう]が 入[はい]り、レジから 売上[うりあげ] 金[きん]を 奪[うば]って 逃走[とうそう]した。</li><li> ｛ 命[いのち]/ 自由[じゆう]/ 権利[けんり]/ 機会[きかい]/ 熱[ねつ]…｝を 奪[うば]う。</li><li>  人身[じんしん] 事故[じこ]により、１ 万[まん] 人[にん]の 通勤[つうきん]の 足[あし]が 奪[うば]われた。</li><li>  美[うつく]しい 花[はな]に｛ 目[め]/ 心[こころ]｝を 奪[うば]われる。</li></ol>	<ol><li>Tên trộm vào cửa hàng tiện lợi ăn cắp doanh thu ở quầy tính tiền và tẩu thoát.</li><li></li><li>Do tai nạn thương vong đã cướp đi sự đi lại của 1 vạn người.</li><li>Bông hoa đẹp đã cướp đi trái tim/ đôi mắt tôi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
しまう	しまう	721	しまう		[sound:yomichan_audio_しまう_仕舞う.mp3]	để lại, giữ lại										  片付[かたづ]ける、 保管[ほかん]する<br>	<br>					<ol><li>  春[はる]になったので、 冬[ふゆ] 物[もの]をしまった。</li><li>  大事[だいじ]な 物[もの]はこの 箱[はこ]の 中[なか]にしまってある。</li><li>  洗[あら]った 食器[しょっき]を 食器[しょっき] 棚[だな]にしまう。</li></ol>	<ol><li>Đến mùa xuân nên cất đồ mùa đông.</li><li>Cất những thứ quan trọng vào trong hộp.</li><li>Cất những chén bát đã rửa lên tủ chén bát.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 怠[なま]ける	なまける	722	怠ける		[sound:yomichan_audio_なまける_怠ける.mp3]	lười biếng	ĐÃI			  怠[なま]け 者[もの]、 怠[なま]け 癖[ぐせ]<br>	<br>					 サボる<br>	<br>					<ol><li>  仕事[しごと]を 怠[なま]ける。</li><li> 「 怠[なま]けていないで 宿題[しゅくだい]をやりなさい」</li></ol>	<ol><li>Lười biếng công việc.</li><li>Đừng có lười nữa hãy làm bài tập đi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 失[うしな]う	うしなう	723	失う		[sound:yomichan_audio_うしなう_失う.mp3]	mất	THẤT					  得[え]る<br>	<br>	  逃[のが]す、なくす<br>	<br>							<ol><li>  地震[じしん]で 財産[ざいさん]を 失[うしな]った。</li><li> ｛ 職[しょく]/ 信用[しんよう]/やる 気[き]…｝を 失[うしな]う。</li><li> ｛ 機会[きかい]/チャンス…｝を 失[うしな]う。</li><li>  私[わたし]は 飛行機[ひこうき] 事故[じこ]で 親[おや]を 失[うしな]った。</li><li>  頭[あたま]を 打[う]って、｛ 気[き]/ 意識[いしき]｝を 失[うしな]った。</li></ol>	<ol><li>Mất hết tài sản vì động đất.</li><li></li><li></li><li>Tôi mất đi người cha vì tai nạn máy bay.</li><li>Bị đập vào đầu, mất hết ý thức.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 攻[せ]める	せめる	724	攻める		[sound:yomichan_audio_せめる_攻める.mp3]	tấn công	CÔNG			  攻[せ]め 込[こ]む、 攻[せ]め 立[た]てる<br>	<br>	  守[まも]る<br>	<br>	  攻撃[こうげき]する<br>	<br>							<ol><li>  敵[てき]を 攻[せ]める。</li><li>  積極的[せっきょくてき]に 相手[あいて]チームを 攻[せ]めて 勝利[しょうり]した。</li></ol>	<ol><li>Tấn công kẻ thù.</li><li>Tấn công đội bạn một cách tích cực nên đã giành thắng lợi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 睨[にら]む	にらむ	725	睨む		[sound:yomichan_audio_にらむ_睨む.mp3]	lườm	NGHỄ			 にらみつける<br>	<br>											<ol><li> その 学生[がくせい]は 注意[ちゅうい]されて、 逆[ぎゃく]に 先生[せんせい]をにらんだ。</li><li> いつも 事件[じけん]を 起[お]こす 彼[かれ]は、 警察[けいさつ]ににらまれている。</li></ol>	<ol><li>Học sinh đó bị nhắc nhở ngược lại còn lườm lại giáo viên.</li><li>Cậu ta lúc nào cũng gây ra tai nạn nên bị cảnh sát chú ý.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
 責[せ]める	せめる	726	責める		[sound:yomichan_audio_せめる_責める.mp3]	đổ lỗi	TRÁCH			  責[せ]め 立[た]てる<br>	<br>											<ol><li>  相手[あいて]の 失敗[しっぱい]を 責[せ]める。</li><li>  過[あやま]ちを 犯[おか]した 自分[じぶん]を 激[はげ]しく 責[せ]めた。</li></ol>	<ol><li>Đổ lỗi thất bại cho đối phương.</li><li>Vi phạm lỗi lầm nên đã trách bản thân nghiêm khắc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-4.html	
