expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 評価[ひょうか]	ひょうか	614	評価		[sound:yomichan_audio_ひょうか_評価.mp3]	đánh giá, bình phẩm	BÌNH GIÁ	 ＿が 高[たか]い＜＝＞ 低[ひく]い、＿が 高[たか]まる、＿を 高[たか]める<br>	<br>	  絶対[ぜったい]＿、 相対[そうたい]＿、 自己[じこ]＿<br>	<br>					  批評[ひひょう]、 批判[ひはん]、 評判[ひょうばん]<br>	<br>					<ol><li> この 映画[えいが]に 対[たい]する 世間[せけん]の 評価[ひょうか]を 高[たか]める。</li><li>  成績[せいせき]を 五段階[ごだんかい]で 評価[ひょうか]する。</li><li>  地球[ちきゅう] 温暖化[おんだんか]についてのレポートは 彼[かれ]の 評価[ひょうか]を 高[たか]めた。</li><li> この 家[いえ]は5000 万[まん] 円[えん]と 評価[ひょうか]された。</li><li>  業績[ぎょうせき]が 評価[ひょうか]され、 昇進[しょうしん]した。</li></ol>	<ol><li>Bộ phim này được thế giới đánh giá cao.</li><li>Thành công được đánh giá bằng 5 giai đoạn.</li><li>Bài báo cáo về sự ấm lên toàn cầu của anh ấy được đánh giá cao.</li><li>Ngôi nhà này được đánh giá có giá trị 5000 vạn yên.</li><li>Được đánh giá thành tích trong công việc và đã thăng chức.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 指示[しじ]	しじ	615	指示		[sound:yomichan_audio_しじ_指示.mp3]	chỉ dẫn, chỉ thị	CHỈ THỊ	 ＿を 与[あた]える、＿を 受[う]ける、＿に 従[したが]う、＿を 守[まも]る、＿がある＜=＞ない<br>	<br>	 ＿ 語[ご]、 方向[ほうこう]＿、＿ 器[き]<br>	<br>					  命令[めいれい]、 差[さ]す<br>	<br>					<ol><li>  部長[ぶちょう]は 田中[たなか]さんに 会議[かいぎ]のレポートを 出[だ]すよう 指示[しじ]した。</li><li> 「 地震[じしん]や 火事[かじ]の 場合[ばあい]は、 係員[かかりいん]の 指示[しじ]に 従[したが]って 避難[ひなん]してください」</li><li> ポインターで 表[ひょう]やグラフを 指示[しじ]しながら 発表[はっぴょう]した。</li></ol>	<ol><li>Trưởng phòng chỉ thị anh Tanaka đưa ra báo cáo trong cuộc họp.</li><li>Trong trường hợp có động đất hay hỏa hoạn thì hãy lánh nạn theo chỉ thị của quản lí.</li><li>Vừa chỉ vào biểu đồ và bảng bằng chuột vừa phát biểu.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 無視[むし]	むし	616	無視		[sound:yomichan_audio_むし_無視.mp3]	bỏ qua, phớt lờ	VÔ THỊ															<ol><li>  話[はな]しかけたのに 無視[むし]された。</li><li>  彼[かれ]は 私[わたし]の 意見[いけん]を 無視[むし]して、 一人[ひとり]で 何[なん]でも 決[き]めてしまう。</li><li>  交通[こうつう] 事故[じこ]の 原因[げんいん]は 信号[しんごう] 無視[むし]だった。</li><li>  地球[ちきゅう] 温暖化[おんだんか]は 無視[むし]できない 問題[もんだい]だ。</li></ol>	<ol><li>Dù đã bắt chuyện nhưng bị lờ đi.</li><li>Anh ấy lờ đi ý kiến của tôi mà tự mình quyết định mọi việc.</li><li>Nguyên nhân của vụ tai nạn giao thông là do phớt lờ đèn tín hiệu.</li><li>Sự ấm lên toàn cầu là một vấn đề không thể phớt lờ.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 無断[むだん]	むだん	617	無断		[sound:yomichan_audio_むだん_無断.mp3]	không có sự cho phép, không được phép	VÔ ĐOẠN/ĐOÁN			 ＿ 欠席[けっせき]、＿ 欠勤[けっきん]、＿ 外泊[がいはく]<br>	<br>					  断[こと]わり<br>	<br>					<ol><li>  無断[むだん]で 人[ひと]のものを 使[つか]ってはいけない。</li><li>  無断[むだん] 欠勤[けっきん]して 上司[じょうし]に 怒[おこ]られた。</li></ol>	<ol><li>Không có sự cho phép mà sử dụng đồ của người khác là không được.</li><li>Nghỉ làm mà không xin phép nên bị cấp trên nổi giận.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 承知[しょうち]	しょうち	618	承知		[sound:yomichan_audio_しょうち_承知.mp3]	hiểu, đồng ý, chấp nhận	THỪA TRI							  承諾[しょうだく]<br>	<br>	  分[わ]かる<br>	<br>					<ol><li> 「この 仕事[しごと]、 明日[あした]までに 頼[たの]みます」「 承知[しょうち]しました」</li><li>  私[わたし]の 学力[がくりょく]では 合格[ごうかく]は 難[むずか]しいと 承知[しょうち]しているが、それでも 受験[じゅけん]したい。</li><li>  困難[こんなん]は 承知[しょうち]の 上[うえ]で、 挑戦[ちょうせん]することにした。</li><li>  無理[むり]を 承知[しょうち]で 頼[たの]む。</li></ol>	<ol><li>Công việc đến sáng mai nhờ anh nhé. Vâng tôi hiểu rồi.</li><li>Tôi hiểu với học lực của mình thì khó mà đậu được nhưng cũng muốn dự thi.</li><li>Nhận biết khó khăn và tôi quyết định thách thức.</li><li>Mong anh chị thấu hiểu là không thể được</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 納得[なっとく]	なっとく	619	納得		[sound:yomichan_audio_なっとく_納得.mp3]	bị thuyết phục, thỏa mãn, hài lòng, bằng lòng	NẠP ĐẮC	 ＿が 行[い]く＜＝＞ 行[い]かない<br>	<br>							  理解[りかい]<br>	<br>					<ol><li>  会社[かいしゃ]のやり 方[かた]には 納得[なっとく]できない。</li><li>  母親[ははおや]は 娘[むすめ]に 留学[りゅうがく]をあきらめることを 納得[なっとく]させた。</li><li>  先生[せんせい]の 解説[かいせつ]で 自分[じぶん]の 間違[まちが]いがようやく 納得[なっとく]できた。</li></ol>	<ol><li>Tôi không thể lí giải được cách làm của công ty.</li><li>Người mẹ đã làm con gái hiểu được việc từ bỏ du học.</li><li>Nhờ vào sự giải thích của giáo viên mà tôi đã hiểu được những vấn đề khúc mắc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 疑問[ぎもん]	ぎもん	620	疑問		[sound:yomichan_audio_ぎもん_疑問.mp3]	nghi vấn, câu hỏi	NGHI VẤN	 ＿がある＜＝＞ない、＿を 抱[いだ]く<br>	<br>							  質問[しつもん]、 疑[うたが]い<br>	<br>					<ol><li>  子供[こども]はいろいろなことに 疑問[ぎもん]を 持[も]つ。</li><li>  疑問[ぎもん]の 点[てん]を 確認[かくにん]する。</li><li>  疑問[ぎもん]に 答[こた]える。</li><li> そんなことができるかどうか 疑問[ぎもん]だ。</li><li>  政府[せいふ]の 発表[はっぴょう]に 疑問[ぎもん]を 抱[いだ]いた。</li></ol>	<ol><li>Bọn trẻ có rất nhiều điều thắc mắc.</li><li>Xác nhận những điểm nghi vấn.</li><li>Trả lời nghi vấn.</li><li>Việc này có được hay không là một điều nghi vấn.</li><li>Tôi thấy có điều nghi vấn trong bài phát biểu của chính phủ.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 推測[すいそく]	すいそく	621	推測		[sound:yomichan_audio_すいそく_推測.mp3]	phỏng đoán, dự báo	THÔI TRẮC	 ＿がつく＜＝＞ 付[つ]かない<br>	<br>					  推量[すいりょう]、 推定[すいてい]<br>	<br>							<ol><li>  相手[あいて]の 気持[きも]ちを 推測[すいそく]する。</li><li>  新聞[しんぶん] 記者[きしゃ]は 推測[すいそく]で 記事[きじ]を 書[か]いてはいけない。</li><li> 「「あなたの 言[い]っていることは、 単[たん]なる 推測[すいそく]に 過[す]ぎない」</li></ol>	<ol><li>Suy đoán cảm xúc đối phương.</li><li>Kí giả bài báo không thể dựa vào suy đoán mà viết bài.</li><li>Điều mà bạn đang nói không quá đơn giản để suy đoán.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 肯定[こうてい]	こうてい	622	肯定		[sound:yomichan_audio_こうてい_肯定.mp3]	khẳng định, xác nhận	KHẲNG ĐỊNH			 ＿ 的[てき]な<br>	<br>	  否定[ひてい]な<br>	<br>									<ol><li>  相手[あいて]の 意見[いけん]を 肯定[こうてい]する。</li><li>  私[わたし]は 何事[なにごと]も、 肯定的[こうていてき]に 考[かんが]えるようにしている。</li></ol>	<ol><li>Khẳng định ý kiến của đối phương.</li><li>Dù là chuyện gì tôi cũng cố gắng suy nghĩ một cách khẳng định rõ ràng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
 参考[さんこう]	さんこう	623	参考		[sound:yomichan_audio_さんこう_参考.mp3]	tham khảo	THAM KHẢO	 ＿になる、＿にする<br>	<br>	 ＿ 資料[しりょう]、＿ 文献[ぶんけん]、＿ 人[にん]<br>	<br>											<ol><li> いろいろな 資料[しりょう]を 参考[さんこう]してレポートを 書[か]いた。</li><li>  留学[りゅうがく]を 決[き]めるとき、 先輩[せんぱい]のアドバイスが 参考[さんこう]になった。</li></ol>	<ol><li>Tham khảo nhiều tài liệu và viết báo cáo.</li><li>Khi quyết định du học, tôi đã tham khảo ý kiến tiền bối.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-3.html	
