expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 区切[くぎ]る	くぎる	704	区切る		[sound:yomichan_audio_くぎる_区切る.mp3]	chia, phân chia	KHU THIẾT													  区切[くぎ]り→＿がつく、＿を 付[つ]ける<br>	<br>	<ol><li>  一[ひと]つ 一[ひと]つ 言葉[ことば]を 区切[くぎ]って 話[はな]す。</li><li>  授業[じゅぎょう]は90 分[ぷん]だが、45 分[ふん]ずつに 区切[くぎ]って 行[おこな]われる。</li><li>  大[おお]きな 部屋[へや]を 本棚[ほんだな]で 区切[くぎ]って 二人[ふたり]で 使[つか]っている。</li></ol>	<ol><li>Nói nhả từng chữ một.</li><li>Tiết học 90 phút, nhưng sẽ chia ra 45 phút để học.</li><li>Người ta dùng tủ để chia phòng lớn cho hai người dùng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 組[く]む	くむ	705	組む		[sound:yomichan_audio_くむ_組む.mp3]	hiệp lực, tham gia, đoàn kết, bắt chéo	TỔ			  腕組[うでぐ]み、 腕[うで] 合[あ]わせる、 組[く]み 合[あ]わせ、 組[く]み 立[た]てる、 組[く]み 立[た]て<br>	<br>					  組[くみ]<br>	<br>	  手[て]を 組[く]む<br><br>				<ol><li> ｛ 足[あし]/ 腕[うで]/ 肩[かた]…｝を 組[く]む。</li><li>  同僚[どうりょう]と 組[く]んでプロジェクトチームを 作[つく]った。</li><li> ｛ペア/チーム…｝を 組[く]む。</li><li> ｛ 予算[よさん]/スケジュール/プログラム…｝を 組[く]む。</li></ol>	<ol><li></li><li>Tôi kết hợp cùng đồng nghiệp làm nhóm dự án.</li><li></li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 組[く]み 立[た]てる	くみたてる	706	組み立てる		[sound:yomichan_audio_くみたてる_組み立てる.mp3]	lắp ráp	TỔ LẬP													  組[く]み 立[た]て<br>	<br>	<ol><li>  部品[ぶひん]を 組[く]み 立[た]てて 機械[きかい]を 作[つく]った。</li><li> いろいろな 部品[ぶひん]で 機械[きかい]を 組[く]み 立[た]てた。</li><li> ｛ 文章[ぶんしょう]/ 論理[ろんり]…｝を 組[く]み 立[た]てる。</li></ol>	<ol><li>Lắp ráp bộ phận để tạo nên máy móc.</li><li>Máy móc được tạo bởi rất nhiều máy móc.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 加[くわ]わる	くわわる	707	加わる		[sound:yomichan_audio_くわわる_加わる.mp3]	thêm vào, tăng lên	GIA							  入[はい]る、 増[ま]す<br>	<br>							<ol><li>  新[あたら]しい 選手[せんしゅ]がチームに 加[くわ]わった。</li><li> ｛メンバー/ 仲間[なかま]/ 味方[みかた]/ 話[はなし]…｝に 加[くわ]わる。</li><li> プラスチックは、｛ 熱[ねつ]/ 力[りょく]…｝が 加[くわ]わると 変形[へんけい]する。</li><li> この 女優[じょゆう]は、 最近[さいきん]ますます 魅力[みりょく]が 加[くわ]わっている。</li></ol>	<ol><li>Thêm thành viên mới vào nhóm.</li><li></li><li>Nếu bổ sung nhiệt/ lực vào nhựa thì sẽ biến dạng.</li><li>Gần đây nữ diễn viên này càng ngày càng trở nên cuốn hút.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 加[くわ]える	くわえる	708	加える		[sound:yomichan_audio_くわえる_加える.mp3]	tham gia, cộng vào, tăng thêm	GIA							  入[い]れる、 与[あた]える、 増[ま]す<br>	<br>							<ol><li> 3に8を 加[くわ]えると11になる。</li><li>  味[あじ]が 薄[うす]いので、もっと 塩[しお]を 加[くわ]えたほうがいい。</li><li>  新人[しんじん]を｛メンバー/ 仲間[なかま]/ 味方[みかた]…｝に 加[くわ]えた。</li><li> このプラスチックは｛ 熱[ねつ]/ 力[りょく]…｝を 加[くわ]えても 変形[へんけい]しない。</li><li>  人[ひと]に 危害[きがい]を 加[くわ]える。</li><li>  情報[じょうほう]の 発達[はったつ]は、ますますスピードを 加[くわ]えている。</li></ol>	<ol><li>Cộng 8 vào 3 sẽ thành 11.</li><li>Vị nhạt nên bỏ thêm chút muối.</li><li></li><li>Nhựa này dù bổ sung nhiệt/ lực cũng không biến dạng.</li><li>Thêm nguy hại cho con người.</li><li>Sự truyền đạt thông tin đang ngày càng gia tăng tốc độ.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 仕上[しあ]がる	しあがる	709	仕上がる		[sound:yomichan_audio_しあがる_仕上がる.mp3]	được hoàn thành, kết thúc	SĨ THƯỢNG							  出来上[できあ]がる、 完成[かんせい]する<br>	<br>					  仕上[しあ]がり<br>	<br>	<ol><li>  恋人[こいびと]に 挙[あ]げるマフラーがやっと 仕上[しあ]がった。</li><li> ｛ 作品[さくひん]/ 論文[ろんぶん]…｝が 仕上[しあ]がる。</li><li>  苦労[くろう]したが、いい 作品[さくひん]に 仕上[しあ]がった。</li></ol>	<ol><li>Cuối cùng đan xong chiếc khăn quàng cổ tặng người yêu.</li><li></li><li>Dù rất vất vả nhưng cũng xong được sản phẩm tốt.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 仕上[しあ]げる	しあげる	710	仕上げる		[sound:yomichan_audio_しあげる_仕上げる.mp3]	hoàn thành, kết thúc	SĨ THƯỢNG							 し 終[お]える、 完成[かんせい]する<br>	<br>					  仕上[しあ]げ<br>	<br>	<ol><li> 「この 仕事[しごと]は 月末[げつまつ]までに 仕上[しあ]げてください」</li><li> ｛ 作品[さくひん]/ 論文[ろんぶん]…｝を 仕上[しあ]げる。</li><li>  苦労[くろう]して、いい 作品[さくひん]に 仕上[しあ]げた。</li></ol>	<ol><li>Hãy làm xong công việc này đến cuối tháng nhé.</li><li></li><li>Vất vả làm xong sản phẩm tốt.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 通[とお]りかかる	とおりかかる	711	通りかかる		[sound:yomichan_audio_とおりかかる_通りかかる.mp3]	ngang qua, đi qua (1 cách tình cờ)	THÔNG													  通[とお]りがかり<br>	<br>	<ol><li> ラーメン 屋[や]の 前[まえ]を 通[とお]りかかると、 大勢[おおぜい]の 人[ひと]が 行列[ぎょうれつ]していた。</li></ol>	<ol><li>Tình cờ đi ngang qua cửa hàng mì, thấy rất đông người đang xếp hàng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 飛[と]び 回[まわ]る	とびまわる	712	飛び回る		[sound:yomichan_audio_とびまわる_飛び回る.mp3]	bay vòng quanh	PHI HỒI															<ol><li> ミツバチがぶんぶん 飛[と]び 回[まわ]っている。</li><li>  忙[いそが]しい 父[ちち]は 海外[かいがい]を 飛[と]び 回[まわ]って 仕事[しごと]をしている。</li></ol>	<ol><li>Ong bay vo ve xung quanh.</li><li>Người bố bận rộn bay quanh nước ngoài làm công việc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
 巡[めぐ]る	めぐる	713	巡る		[sound:yomichan_audio_めぐる_巡る.mp3]	quay quanh	TUẦN															<ol><li> お 土産[みやげ]をもらった 子供[こども]は 喜[よろこ]んで 飛[と]び 回[まわ]った。</li><li>  地球[ちきゅう]は 太陽[たいよう]の 周[まわ]りを 巡[めぐ]っている。</li><li>  公園[こうえん]の 中[なか]を 歩道[ほどう]が 巡[めぐ]っている。</li><li>  歴史[れきし]は 巡[めぐ]る。</li><li>  血液[けつえき]が 体内[たいない]を 巡[めぐ]る。</li><li>  季節[きせつ]が 巡[めぐ]る。</li><li> アジア 諸国[しょこく]を 巡[めぐ]るツアーに 参加[さんか]した。</li><li>  憲法[けんぽう] 九条[きゅうじょう]を 巡[めぐ]る 論議[ろんぎ]が 続[つづ]いている。</li><li>  家族[かぞく]は 遺産[いさん]を 巡[めぐ]って 争[あらそ]いを 始[はじ]めた。</li></ol>	<ol><li>Đứa trẻ nhận được quà vui mừng chạy vòng quanh.</li><li>Trái đất quay quanh mặt trời.</li><li>Đường đi bộ bao quanh trong công viên.</li><li>Xoay quanh lịch sử.</li><li>Máu chảy quanh cơ thể.</li><li>Mùa xoay vần.</li><li>Tham gia chuyến du lịch vòng quanh các nước châu Á.</li><li>Tiếp tục hội nghị xoay quanh hiến pháp 9 điều kiện.</li><li>Gia đình bắt đầu đấu đá nhau xoay quanh vấn đề tài sản.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-3.html	
