expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 活発[かっぱつ]な	かっぱつな	881	活発な		[sound:yomichan_audio_かっぱつ_活発.mp3]	hoạt bát, năng động	HOẠT PHÁT			  活発[かっぱつ]さ<br>	<br>					  快活[かいかつ]な<br>	<br>					<ol><li> うちの 娘[むすめ]はとても 活発[かっぱつ]だ。</li><li>  活発[かっぱつ]な｛ 人[ひと]/ 性格[せいかく]…｝</li><li>  活発[かっぱつ]な 議論[ぎろん]が 行[おこな]われた。</li><li>  最近[さいきん]、 火山[かざん] 活動[かつどう]が 活発[かっぱつ]になっている。</li></ol>	<ol><li>Con gái nhà tôi rất hoạt bát.</li><li></li><li>Cuộc họp được diễn ra một cách sôi nổi.</li><li>Gần đây, hoạt động núi lửa đã bắt đầu sôi nổi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 的確[てきかく]な	てきかくな	882	的確な		[sound:yomichan_audio_てきかく_的確.mp3]	rõ ràng, chính xác	ĐÍCH XÁC			  的確[てきかく]さ<br>	<br>	  不[ふ] 的確[てきかく]な<br>	<br>			  確実[かくじつ]な、 性格[せいかく]な<br>	<br>					<ol><li>  上司[じょうし]は 部下[ぶか]に 的確[てきかく]な 指示[しじ]を 与[あた]えることが 大切[たいせつ]だ。</li><li>  的確[てきかく]な｛ 判断[はんだん]/ 評価[ひょうか]/ 方法[ほうほう]…｝</li><li>  状況[じょうきょう]を 的確[てきかく]に 把握[はあく]する。</li></ol>	<ol><li>Cấp trên đưa ra những chỉ đạo rõ ràng đối với cấp dưới là điều quan trọng.</li><li></li><li>Năm chắc tình hình kinh tế.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 確実[かくじつ]な	かくじつな	883	確実な		[sound:yomichan_audio_かくじつ_確実.mp3]	chinh xác	XÁC THỰC	  確実[かくじつ]になる<br>	<br>	  確実[かくじつ]さ、 確実性[かくじつせい]、 当選[とうせん] 確実[かくじつ]<br>	<br>	  不確実[ふかくじつ]な<br>	<br>	  確[たし]かな<br>	<br>							<ol><li>  将来[しょうらい]について 確実[かくじつ]なことは 分[わ]からない。</li><li> この 情報[じょうほう]は 確実[かくじつ]だ。</li><li> この 点数[てんすう]なら 合格[ごうかく]は 確実[かくじつ]だ。</li><li>  問題[もんだい]を 確実[かくじつ]に 処理[しょり]する。</li><li>  来月[らいげつ] 政権[せいけん]が 交代[こうたい]することが 確実[かくじつ]になった。</li></ol>	<ol><li>Không thể biết rõ ràng những chuyện trong tương lai.</li><li>Thông tin này là chính xác.</li><li>Với điểm như thế này thì chắc chắn đậu rồi.</li><li>Xử lí vấn đề một cách rõ ràng.</li><li>Tháng sau, việc thay đổi chính quyền là chính xác.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 明[あき]らかな	あきらかな	884	明らかな		[sound:yomichan_audio_あきらか_明らか.mp3]	rõ ràng, sáng tỏ	MINH	  明[あき]らかになる、 明[あき]らかにする<br>	<br>					 はっきりした、 明確[めいかく]な、 明白[めいはく]な<br>	<br>							<ol><li>  事故[じこ]の 原因[げんいん]は 明[あき]らかではない。</li><li>  明[あき]らかに 彼[かれ]は 嘘[うそ]をついている。</li><li> A  社[しゃ]はB　 社[しゃ]が 合併[がっぺい]することが 明[あき]らかになった。</li><li>  首相[しゅしょう]は 自分[じぶん]がガンであることを 明[あき]らかにした。</li></ol>	<ol><li>Nguyên nhân vụ tai nạn không rõ ràng.</li><li>Rõ ràng là anh ta đang nói dối.</li><li>Việc công ty A và công ty B sát nhập là đúng.</li><li>Phơi bày việc thủ tướng bị bệnh ung thư.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 曖昧[あいまい]な	あいまいな	885	曖昧な		[sound:yomichan_audio_undefined_曖昧な文法.mp3]	mơ hồ, không rõ ràng	ÁI MUỘI	 あいまいにする<br>	<br>	 あいまいさ<br>	<br>	 はっきりした、 明確[めいかく]な、 明白[めいはく]な<br>	<br>	 あやふやな<br>	<br>							<ol><li>  社長[しゃちょう]は 辞任[じにん]についてあいまいな 態度[たいど]を 取[と]った。</li><li>  曖昧[あいまい]な｛ 表現[ひょうげん]/ 言[い]い 方[かた]…｝</li><li> あの 日[ひ]のことは 記憶[きおく]があいまいだ。</li><li>  重要[じゅうよう]な 問題[もんだい]をあいまいにしてしまう。</li></ol>	<ol><li>Giám đốc tỏ thái độ không rõ ràng về việc từ chức.</li><li></li><li>Sự việc ngày hôm đó là sự một kí ức mơ hồ.</li><li>Tôi đã không làm rõ ràng một sự việc quan trọng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 具体的[ぐたいてき]な	ぐたいてきな	886	具体的な		[sound:yomichan_audio_ぐたいてき_具体的.mp3]	cụ thể, rõ ràng	CỤ THỂ ĐÍCH			  具体性[ぐたいせい]、 具体[ぐたい] 例[れい]、 具体[ぐたい] 案[あん]、 具体化[ぐたいか]<br>	<br>	  抽象的[ちゅうしょうてき]な<br>	<br>									<ol><li> 「 分[わ]かりにくいので、もっと 具体的[ぐたいてき]に 説明[せつめい]してください」</li><li>  具体的[ぐたいてき]な｛ 話[はなし]/ 例[れい]/ 計画[けいかく]/ 方法[ほうほう]…｝</li></ol>	<ol><li>Khó hiểu nên hãy giải thích cụ thể hơn đi ạ.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 抽象的[ちゅうしょうてき]な	ちゅうしょうてきな	887	抽象的な		[sound:yomichan_audio_ちゅうしょうてき_抽象的.mp3]	tính trừu tượng	TRỪU TƯỢNG ĐÍCH			  抽象性[ちゅうしょうせい]、 抽象画[ちゅうしょうが]、 抽象化[ちゅうしょうか]<br>	<br>	  具体的[ぐたいてき]な<br>	<br>									<ol><li>  名詞[めいし]は 形[かたち]のない 抽象的[ちゅうしょうてき]な 物事[ものごと]も 表[あらわ]す。</li><li>  抽象的[ちゅうしょうてき]な｛ 話[はなし]/ 議論[ぎろん]…｝</li><li> この 理論[りろん]は 抽象的[ちゅうしょうてき] 過[す]ぎてよくわからない。</li></ol>	<ol><li>Danh từ cũng chỉ những sự việc không có hình dạng mang tính trừu tượng.</li><li></li><li>Lí luận này mang tính trừu tượng quá không hiểu.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 等[ひと]しい	ひとしい	888	等しい		[sound:yomichan_audio_ひとしい_等しい.mp3]	bằng nhau, giống nhau	ĐẲNG							  同[おな]じだ<br>	<br>					  等[ひと]しさ<br>	<br>	<ol><li> この 二本[にほん]の 直線[ちょくせん]は 長[なが]さが 等[ひと]しい。</li><li>  遺産[いさん]は3 人[にん]の 子供[こども]たちに 等[ひと]しく 分配[ぶんぱい]された。</li><li>  彼[かれ]の 表情[ひょうじょう]は「 嫌[いや]だ」と 言[い]っているのに 等[ひと]しい。</li></ol>	<ol><li>Chiều dài đường thẳng hai quyển sách này là bằng nhau.</li><li>Tài sản được chia đều cho 3 đứa con.</li><li>Biểu cảm anh ấy nói lên rằng không thích nhưng vẫn bình thường.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 平等[びょうどう]な	びょうどうな	889	平等な		[sound:yomichan_audio_びょうどう_平等.mp3]	bình đẳng	BÌNH ĐẲNG			  自由[じゆう] 平等[びょうどう]、 男女[だんじょ] 平等[びょうどう]、 平等[びょうどう] 主義[しゅぎ]<br>	<br>	  不平等[ふびょうどう]な<br>	<br>			  公平[こうへい]な<br>	<br>					<ol><li>  法[ほう]の 下[もと]では 誰[だれ]でも 平等[びょうどう]だ。</li><li>  会[かい]の 収入[しゅうにゅう]は 会員[かいいん]に 平等[びょうどう]に 分配[ぶんぱい]される。</li></ol>	<ol><li>Dưới pháp luật thì ai cũng như nhau.</li><li>Việc vào hội trường thì bình đẳng đối với tất cả mọi người.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
 公平[こうへい]な	こうへいな	890	公平な		[sound:yomichan_audio_こうへい_公平.mp3]	công bằng	CÔNG BÌNH			  公平[こうへい]さ<br>	<br>	  不公平[ふこうへい]な<br>	<br>			  平等[びょうどう]な<br>	<br>					<ol><li>  教師[きょうし]が 学生[がくせい]によって 態度[たいど]を 変[か]えるのは 公平[こうへい]ではない。</li><li>  私[わたし]の 親[おや]は 兄弟[きょうだい]を 公平[こうへい]に 扱[あつか]った。</li><li>  誰[だれ]からも 公平[こうへい]に 意見[いけん]を 聞[き]く。</li></ol>	<ol><li>Giáo viên tùy vào học sinh mà thay đổi thái độ là không công bằng.</li><li>Bố mẹ tôi đối xử công bằng với anh em tôi.</li><li>Nghe ý kiến một cách công bằng từ bất kì ai.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-10-bai-4.html	
