expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 改善[かいぜん]	かいぜん	670	改善		[sound:yomichan_audio_かいぜん_改善.mp3]	cải thiện, cải cách	CẢI THIỆN															<ol><li>  組合[くみあい]は 待遇[たいぐう]の 改善[かいぜん]を 求[もと]めてストを 行[おこな]った。</li><li> 「 生活[せいかつ]を 改善[かいぜん]しなければ、 生活[せいかつ] 習慣[しゅうかん] 病[びょう]は 治[なお]りません」</li></ol>	<ol><li>Các tổ chức công đoàn đã tổ chức những cuộc biểu tình đòi cải thiện chế độ đãi ngộ.</li><li>Nếu không cải thiện cuộc sống thì sẽ không sửa được bệnh lối sống.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 改良[かいりょう]	かいりょう	671	改良		[sound:yomichan_audio_かいりょう_改良.mp3]	sự cải thiện; sự cải tiến	CẢI LƯƠNG	 ＿を 加[くわ]える、＿を 重[かさ]ねる<br>	<br>	  品種[ひんしゅ]＿<br>	<br>											<ol><li> その 製品[せいひん]は 改良[かいりょう]を 重[かさ]ねることで、 一層[いっそう] 使[つか]いやすくなかった。</li></ol>	<ol><li>Sản phẩm này bao gồm những cải tiến nên đã dễ dàng sử dụng hơn rất nhiều.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 改革[かいかく]	かいかく	672	改革		[sound:yomichan_audio_かいかく_改革.mp3]	cải cách	CẢI CÁCH			  税制[ぜいせい]＿、 農地[のうち]＿、 宗教[しゅうきょう]＿<br>	<br>			  変革[へんかく]、 革新[かくしん]<br>	<br>	  革命[かくめい]<br>	<br>					<ol><li>  古[ふる]い 制度[せいど]を 改革[かいかく]しなければ、この 国[くに]の 発展[はってん]は 望[のぞ]めない。</li></ol>	<ol><li>Nếu không cải cách chế độ cũ thì không mong sự phát triển ở đất nước này.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 改正[かいせい]	かいせい	673	改正		[sound:yomichan_audio_かいせい_改正.mp3]	sự cải chính; sự sửa chữa; sự thay đổi; sự chỉnh sửa	CẢI CHÍNH															<ol><li> 4 月[がつ]から 新幹線[しんかんせん]のダイヤが 改正[かいせい]されるそうだ。</li><li> ｛ 法律[ほうりつ]/ 条約[じょうやく]/ 規則[きそく]…｝を 改正[かいせい]する。</li></ol>	<ol><li>Nghe nói từ tháng 4 bảng giờ tàu shinkansen sẽ được thay đổi.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 改定[かいてい]	かいてい	674	改定		[sound:yomichan_audio_かいてい_改定.mp3]	hiệu chỉnh	CẢI ĐỊNH									  訂正[ていせい]<br>	<br>					<ol><li>  来年[らいねん]から 消費税[しょうひぜい] 率[りつ]が 改定[かいてい]されることになった。</li><li> ｛ 定価[ていか]/ 規則[きそく]…｝を 改定[かいてい]する。</li></ol>	<ol><li>Từ năm sau sẽ cải cách thuế tiêu thụ.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 改修[かいしゅう]	かいしゅう	675	改修		[sound:yomichan_audio_かいしゅう_改修.mp3]	sự sửa chữa; sự cải tiến; sửa chữa; cải tiến; nâng cấp	CẢI TU			 ＿ 工事[こうじ]<br>	<br>											<ol><li> アパートが 古[ふる]くなったので、 大規模[だいきぼ]な 改修[かいしゅう]が 行[おこな]われることになった。</li><li> ｛ 道路[どうろ]/ 橋[はし]/ 建築物[けんちくぶつ]/ 河川[かせん]…｝を 改修[かいしゅう]する。</li></ol>	<ol><li>Căn nhà đã cũ nên quyết định tổ chức cải cách với quy mô lớn.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 一致[いっち]	いっち	676	一致		[sound:yomichan_audio_いっち_一致.mp3]	sự nhất trí; sự giống nhau; sự thống nhất	NHẤT TRÍ	  偶然[ぐうぜん]の＿<br>	<br>	  満場[まんじょう]＿<br>	<br>	  不[ふ]＿<br>	<br>									<ol><li>  二人[ふたり]の 意見[いけん]が 一致[いっち]した。</li><li>  恋人[こいびと]と 誕生日[たんじょうび]が 同[おな]じとは、 偶然[ぐうぜん]の 一致[いっち]だ。</li><li>  彼[かれ]の 指紋[しもん]が、 現場[げんば]に 残[のこ]された 指紋[しもん]と 一致[いっち]した。</li></ol>	<ol><li>Thống nhất ý kiến hai người với nhau.</li><li>Có cùng ngày sinh với người yêu là một sự giống nhau ngẫu nhiên.</li><li>Dấu vân tay của anh ấy trùng với dấu vân tay ở hiện trường.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 一方[いっぽう]	いっぽう	677	一方		[sound:yomichan_audio_いっぽう_一方.mp3]	đơn phương; một chiều, mặt khác	NHẤT PHƯƠNG			 ＿ 通行[つうこう]、＿ 的[てき]な<br>	<br>											<ol><li>  飛行機[ひこうき]の 中[なか]で 乗客[じょうきゃく]が 一方[いっぽう]に 片寄[かたよ]ると 危[あぶ]ない。</li><li> マウスを2グループに 分[わ]け、 一方[いっぽう]にはAの 薬[くすり]を、もう 一方[いっぽう]にはBの 薬[くすり]を 与[あた]えた。</li></ol>	<ol><li>Trong máy bay, hành khách dồn về một phía sẽ rất nguy hiểm.</li><li>Chia chuột thành hai nhóm, một nhóm chịu ảnh hưởng của thuốc A, nhóm còn lại là thuốc B.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 一定[いってい]	いってい	678	一定		[sound:yomichan_audio_いってい_一定.mp3]	nhất định	NHẤT ĐỊNH															<ol><li>  倉庫[そうこ]の 中[なか]は 一定[いってい]の 温度[おんど]を 保[たも]たれている。</li><li>  花[はな]が 咲[さ]くには 一定[いってい]の 条件[じょうけん]が 必要[ひつよう]だ。</li><li>  伝染病[でんせんびょう]にかかると、 一定[いってい] 期間[きかん]、 入院[にゅういん]させられる。</li><li>  一定[いってい]の 成績[せいせき]を 取[と]らなければ、 奨学金[しょうがくきん]はもらえない。</li><li> あの 作家[さっか]の 書[か]く 小説[しょうせつ]は、どれも 一定[いってい]の 水準[すいじゅん]に 達[たっ]している。</li><li> エアコンが 故障[こしょう]して、 温度[おんど]が 一定[いってい]しない。</li></ol>	<ol><li>Trong kho đang bảo quản một nhiệt độ nhất định.</li><li>Cần một điều kiện nhất định để hoa có thể nở.</li><li>Nếu bị bệnh truyền nhiễm, thì sẽ phải nhập viện một thời gian nhất định.</li><li>Nếu không đạt được thành tích nhất định thì sẽ không thể nhận được học bổng.</li><li>Những tiểu thuyết mà tác giả ấy viết cái nào cũng đạt được trình độ nhất định.</li><li>Điều hòa bị hỏng nên không thể thiết lập nhiệt độ nhất định.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
 一人前[いちにんまえ]	いちにんまえ	679	一人前		[sound:yomichan_audio_いちにんまえ_一人前.mp3]	người lớn; người trưởng thành	NHẤT NHÂN TIỀN															<ol><li>  経済的[けいざいてき]に 親[おや]から 独立[どくりつ]しなければ、 一人前[いちにんまえ]とは 言[い]えないだろう。</li><li>  職人[しょくにん]は 一人前[いちにんまえ]になるのに 長[なが]い 時間[じかん]がかかる。</li><li> 「すし、 一人前[いちにんまえ]お 願[ねが]いします」</li></ol>	<ol><li>Nếu không độc lập kinh tế khỏi bố mẹ thì không thể nói là người lớn được.</li><li>Người lao động cần thời gian dài để có thể trưởng thành.</li><li>Cho tôi một suất susi người lớn.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-8.html	
