expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 認[みと]める	みとめる	741	認める		[sound:yomichan_audio_みとめる_認める.mp3]	thừa nhận, công nhận, chứng nhận	NHẬN							  肯定[こうてい]する、 認可[にんか]する、 許可[きょか]する、 認定[にんてい]する、 評価[ひょうか]する、 見[み]える<br>	<br>							<ol><li>  彼[かれ]は 犯行[はんこう]を 認[みと]めた。</li><li>  裁判所[さいばんしょ]は 彼[かれ]を 相続[そうぞく] 人[にん]と 認[みと]めた。</li><li>  入学[にゅうがく]を 認[みと]める。</li><li>  例外[れいがい]を 認[みと]めない。</li><li>  彼[かれ]は 業績[ぎょうせき]が 認[みと]められて 教授[きょうじゅ]になった。</li><li>  彼女[かのじょ]の 慈善[じぜん] 事業[じぎょう]は 世[よ]の 中[なか]に 認[みと]められた。</li><li>  部屋[へや]に 人影[ひとかげ]は 認[みと]められなかった。</li><li>  彼[かれ]の 作文[さくぶん]には 苦心[くしん]の 跡[あと]を 認[みと]められる。</li></ol>	<ol><li>Anh ấy đã nhận là phạm tội.</li><li>Phiên tòa đã xác nhận anh ấy là người thừa kế.</li><li>Xác nhận nhập học.</li><li>Không chấp nhận ngoại lệ.</li><li>Thành tích của anh ấy được công nhận và trở thành giáo sư.</li><li>Hoạt động từ thiện của cô ấy được thế giới công nhận.</li><li>Không thể nhìn thấy hình bóng người ở trong phòng.</li><li>Có thể thấy được dấu vết của sự khổ tâm trong tác phẩm của anh ấy.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 見直[みなお]す	みなおす	742	見直す		[sound:yomichan_audio_みなおす_見直す.mp3]	nhìn lại, cân nhắc lại	KIẾN TRỰC							  再検討[さいけんとう]する<br>	<br>	 チェックする<br>	<br>			  見直[みなお]し<br>	<br>	<ol><li> 「テストを 出[だ]す 前[まえ]に、もう 一度[いちど] 見直[みなお]しなさい」</li><li>  間違[まちが]いがないよう 何回[なんかい]も 見直[みなお]す。</li><li>  景気[けいき] 悪化[あっか]でこの 計画[けいかく]は 見直[みなお]す 必要[ひつよう]がある。</li><li>  普段[ふだん] 目立[めだ]たない 彼[かれ]の 勇気[ゆうき]ある 発言[はつげん]を 聞[き]いて 彼[かれ]を 見直[みなお]した。</li><li> 「あなたって、 結構[けっこう] 正義感[せいぎかん]が 強[つよ]いのね。 見直[みなお]しちゃった」</li></ol>	<ol><li>Trước khi nộp bài hãy nhìn lại một lần nữa.</li><li>Tôi xem lại bài nhiều lần để không có lỗi sai nào.</li><li>Với tình thế kinh tế khó khăn thì việc nhìn nhận lại kế hoạch này là rất cần thiết.</li><li>Sau khi nghe những lời phát biểu đầy dũng cảm của người không nổi bật gì, tôi đã nhìn nhận lại anh ấy.</li><li>Lòng chính nghĩa của cậu cũng khá mạnh mẽ nhỉ, mình phải xem lại thôi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 見慣[みな]れる	みなれる	743	見慣れる		[sound:yomichan_audio_みなれる_見慣れる.mp3]	quen, nhẵn mặt	KIẾN QUÁN															<ol><li>  見慣[みな]れない 人[ひと]が 教室[きょうしつ]にいる。</li><li>  外国[がいこく]から 帰[かえ]って 見慣[みな]れた 風景[ふうけい]を 見[み]るとほっとする。</li><li>  私[わたし]は 銀行員[ぎんこういん]なので、 札束[さつたば]を 見慣[みな]れている。</li></ol>	<ol><li>Có người lạ trong lớp.</li><li>Từ nước ngoài trở về nhìn thấy phong cảnh quen thuộc cảm thấy thật an tâm.</li><li>Tôi là nhân viên ngân hàng nên nhìn những cuộn tiền cũng quen.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 求[もと]める	もとめる	744	求める		[sound:yomichan_audio_もとめる_求める.mp3]	tìm kiếm, yêu cầu, mong muốn	CẦU							  買[か]う<br>	<br>	  探[さが]す、 要求[ようきゅう]する、 頼[たの]む<br>	<br>	  求[もと]む<br><br>		  求[もと]め→＿に 応[おう]じる<br>	<br>	<ol><li>  彼女[かのじょ]は 職[しょく]を 求[もと]めている。</li><li>  刑事[けいじ]は 手[て]がかりを 求[もと]めて 毎日[まいにち] 歩[ある]き 回[まわ]っていた。</li><li>  被害者[ひがいしゃ]は 加害者[かがいしゃ]に 損害[そんがい] 賠償[ばいしょう]を 求[もと]めた。</li><li>  組合[くみあい]は 会社[かいしゃ]に 賃上[ちんあ]げを 求[もと]めた。</li><li> ｛ 説明[せつめい]/ 援助[えんじょ]/ 助[たす]け…｝を 求[もと]める。</li><li> 「 切符[きっぷ]はご 乗車[じょうしゃ]になる 前[まえ]にお 求[もと]めください」</li><li> 「お 求[もと]めになりやすい 価格[かかく]になっています」</li></ol>	<ol><li>Cô ấy đang tìm việc.</li><li>Cảnh sát đang tìm hiểu đầu mối nên mỗi ngày đều đi vòng quanh.</li><li>Người bị hại yêu cầu tiền bồi thường thiệt hại ở người hại.</li><li>Tổ chức công đoàn đã yêu cầu tăng lương trong công ty.</li><li></li><li>Hãy yêu cầu vé trước khi lên xe.</li><li>Làm nên những giá trị dễ yêu cầu.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 漏[も]れる	もれる	745	漏れる		[sound:yomichan_audio_もれる_漏れる.mp3]	bị rò rỉ, lọt qua, rỉ ra	LẬU			 ガス 漏[も]れ、 水[みず] 漏[も]れ、 情報[じょうほう] 漏[も]れ、 連絡[れんらく] 漏[も]れ、もれなく<br>	<br>			  抜[ぬ]ける<br>	<br>							<ol><li>  台所[だいどころ]でガスが 漏[も]れている。</li><li> カーテンの 隙間[すきま]から 明[あ]かりが 漏[も]れていた。</li><li>  秘密[ひみつ]が 外[そと]に 漏[も]れる。</li><li>  隣[となり]の 部屋[へや]から 女性[じょせい]の 泣[な]き 声[ごえ]が 漏[も]れいていた。</li><li>  思[おも]わず｛ 本音[ほんね]/ 微笑[ほほえ]み/ 溜息[ためいき]/ 言葉[ことば]…｝が 漏[も]れる。</li><li> うめき 声[ごえ]が 彼[かれ]の 口[くち]から 漏[も]れた。</li><li> けがをした 彼女[かのじょ]は 代表[だいひょう] 選手[せんしゅ]の 選[せん]から 漏[も]れた。</li><li>  名簿[めいぼ]から 名前[なまえ]が 漏[も]れている。</li></ol>	<ol><li>Ga rò rỉ ở nhà bếp.</li><li>Ánh sáng le lói qua khe hở màn che.</li><li>Rò rỉ bí mật ra ngoài.</li><li>Tiếng khóc của bé gái phòng bên vang lên.</li><li></li><li>Tiếng rên rỉ phát ra từ miệng anh ta.</li><li>Cô gái bị thương ấy đã bỏ lỡ cuộc lựa chọn đại diện cầu thủ.</li><li>Tên lộ ra từ danh sách.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 漏[も]らす	もらす	746	漏らす		[sound:yomichan_audio_もらす_漏らす.mp3]	làm lộ; làm rò rỉ	LẬU			  聞[き]き＿<br>	<br>			 ぬかす<br>	<br>							<ol><li>  一滴[いってき]も 漏[も]らさず 水[みず]をバケツで 運[はこ]んだ。</li><li> このカーテンは 光[ひかり]を 漏[も]らさない。</li><li>  彼[かれ]は 会社[かいしゃ]の 秘密[ひみつ]を 他社[たしゃ]に 漏[も]らして 金銭[きんせん]を 受[う]け 取[と]っていた。</li><li> ｛ 不平[ふへい]/ 本音[ほんね]/ 溜息[ためいき]…｝を 漏[も]らす。</li><li>  彼女[かのじょ]はどんな 細[こま]かなことも 漏[も]らさず 書[か]き 留[と]めた。</li></ol>	<ol><li>Vận chuyển bình đựng nước không rò rỉ ra dù chỉ một giọt.</li><li>Tấm rèm cửa này không cho ánh sáng chiếu qua.</li><li>Anh ấy làm lộ bí mật của công ty cho công ty khác và nhận tiền thưởng.</li><li></li><li>Cô ấy dù là chuyện nhỏ nhặt cũng không bỏ qua mà ghi lại.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
なる	なる	747	なる		[sound:yomichan_audio_なる_成る.mp3]	ra (hoa), kết (quả)										  実[みの]る<br>	<br>					<ol><li>  庭[にわ]に 実[み]がなる 木[き]を 植[う]えた。</li></ol>	<ol><li>Trong vườn cây đã ra quả.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 焦[こ]げる	こげる	748	焦げる		[sound:yomichan_audio_こげる_焦げる.mp3]	bị cháy	TIÊU			  焼[や]け 焦[こ]げ、 焦[こ]げ 跡[あと]、おこげ<br>	<br>											<ol><li>  焼[や]き 過[す]ぎて、 魚[さかな]が 真[ま]っ 黒[くろ]にこげてしまった。</li><li> じゅうたんの 焦[こ]げた 跡[あと]を 修繕[しゅうぜん]する。</li></ol>	<ol><li>Do nướng quá nên cá bị cháy đen thui.</li><li>Chỉnh sửa vết cháy đen của tấm thảm trải</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 反[はん]する	はんする	749	反する		[sound:yomichan_audio_はんする_反する.mp3]	trái lại	PHẢN	  法[ほう]に＿<br>	<br>					  背[そむ]く、 違反[いはん]する<br>	<br>							<ol><li>  両親[りょうしん]の 期待[きたい]に 反[はん]して、 大学[だいがく]に 進学[しんがく]しなかった。</li><li>  趣旨[しゅし]に 反[はん]する。</li><li> マルチ 商法[しょうほう]は 法[ほう]に 反[はん]する 商法[しょうほう]だ。</li><li>  契約[けいやく]に 反[はん]する 行為[こうい]があった 場合[ばあい]、 損害[そんがい] 賠償[ばいしょう]を 要求[ようきゅう]されることもある。</li></ol>	<ol><li>Trái với kì vọng của ba mẹ không đi học đại học.</li><li>Trái với mục đích.</li><li>Bán hàng đa cấp là hình thức bán hàng trái với pháp luật.</li><li>Trường hợp hành vi trái với quy ước thì sẽ bị yêu cầu bồi thường tiền thiệt hại.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
 膨[ふく]れる	ふくれる	750	膨れる		[sound:yomichan_audio_ふくれる_膨れる.mp3]	phồng, sưng	BÀNH			  膨[ふく]れ 上[あ]がる<br>	<br>											<ol><li>  網[あみ]の 上[うえ]でもちが 膨[ふく]れている。</li><li> ｛パン/ 風船[ふうせん]…｝が 膨[ふく]れている。</li><li> ｛ 予算[よさん]/ 借金[しゃっきん]…｝が 膨[ふく]れる。</li><li>  娘[むすめ]が 怒[おこ]るとすぐ 脹[ふく]れる。</li></ol>	<ol><li>Ở trên lưới bánh giầy đang phòng lên.</li><li></li><li></li><li>Em gái khi tức giận thì ngay lập tức phình lên.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-6.html	
