expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 食料[しょくりょう]・ 食糧[しょくりょう]	しょくりょう・しょくりょう	581	食料・食糧		[sound:yomichan_audio_しょくりょう_食料.mp3]	đồ ăn, thực phẩm	THỰC LIỆU THỰC LƯƠNG			 ＿ 品[ひん]、＿ 自給率[じきゅうりつ]、＿ 難[なん]<br>	<br>			  食[た]べ 物[もの]、 食物[しょくもつ]<br>	<br>	  食品[しょくひん]<br>	<br>					<ol><li>  日本[にほん]は 食料[しょくりょう]の 自給率[じきゅうりつ]が 低[ひく]いと 言[い]われる。</li><li>  地震[じしん]に 備[そな]えて 災害用[さいがいよう]の 食料[しょくりょう]を 用意[ようい]しておく。</li><li>  戦後[せんご]はしばらく 食糧難[しょくりょうなん]の 時代[じだい]が 続[つづ]いた。</li></ol>	<ol><li>Nước Nhật là nước có tỉ lệ tự cung thức ăn thấp.</li><li>Trang bị cho động đất chuẩn bị sẵn thức ăn dùng khi hỏa hoạn.</li><li>Kéo dài thời kì thiếu lương thực một thời gian sau chiến tranh.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 粒[つぶ]	つぶ	582	粒		[sound:yomichan_audio_つぶ_粒.mp3]	hạt, viên	LẠP			 ＿ぞろい、 大[おお]＿、 小[こ]＿<br>	<br>											<ol><li> ぶどうを 一粒[ひとつぶ]を 食[た]べる。</li><li> イヤリングには 真珠[しんじゅ]が 一粒[ひとつぶ]ついていた。</li><li>  大粒[おおつぶ]の 涙[なみだ]。</li><li>  今年[ことし]の 新入[しんにゅう] 社員[しゃいん]は 粒[つぶ]ぞろいだ。</li></ol>	<ol><li>Ăn từng hạt nho.</li><li>Bông tai có đính một hạt ngọc trai.</li><li>Hạt nước mắt.</li><li>Những nhân viên mới năm nay là những hạt ngọc đã sàng lọc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 屑[くず]	くず	583	屑		[sound:yomichan_audio_くず_屑.mp3]	vụn, rác, phần thừa	TIẾT			  紙[かみ]＿、＿ 箱[ばこ]、＿かご<br>	<br>											<ol><li>  野菜[やさい]のくずを 捨[す]てる。</li><li> 「お 前[まえ]は 人間[にんげん]のくずだ」</li></ol>	<ol><li>Vứt vụn rác của rau.</li><li>Mày là đồ rác rưởi của loài người.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 栽培[さいばい]	さいばい	584	栽培		[sound:yomichan_audio_さいばい_栽培.mp3]	nuôi trồng	TÀI BỒI															<ol><li> この 畑[はたけ]では 小麦[こむぎ]を 栽培[さいばい]している。</li></ol>	<ol><li>Cánh đồng này đang trồng lúa mì.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 収穫[しゅうかく]	しゅうかく	585	収穫		[sound:yomichan_audio_しゅうかく_収穫.mp3]	thu hoạch	THU HOẠCH	 ＿を 上[あ]げる、＿がある&lt;=&gt;ない<br>	<br>	 ＿ 物[ぶつ]、＿ 高[だか]、＿ 量[りょう]、＿ 期[き]<br>	<br>											<ol><li>  今年[ことし]は 米[こめ]が 昨年[さくねん]の1.5 倍[ばい]の 収穫[しゅうかく]を 上[あ]げた。</li><li>  農作物[のうさくぶつ]を 収穫[しゅうかく]する。</li><li> パーティーはつまらなかったが、いろいろな 人[ひと]と 知[し]り 合[あ]えたのは 収穫[しゅうかく]だった。</li><li>  勉強会[べんきょうかい]に 行[い]ったが、 大[たい]した 収穫[しゅうかく]がなかった。</li></ol>	<ol><li>Năm nay thu hoạch lúa mì gấp 1,5 lần so với năm ngoái.</li><li>Thu hoạch nông sản.</li><li>Bữa tiệc thì chán ngấy nhưng được cái có nhiều bạn bè, người quen.</li><li>Đi đến hội nghiên cứu học nhưng chẳng học thêm được gì nhiều.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 産地[さんち]	さんち	586	産地		[sound:yomichan_audio_さんち_産地.mp3]	nơi sản xuất	SẢN ĐỊA									  原産[げんさん]、 原産地[げんさんち]、 ［名詞］[「めいし」]＋ 産[さん]<br>	<br>					<ol><li>  青森[あおもり] 県[けん]は、リンゴの 産地[さんち]として 有名[ゆうめい]だ。</li></ol>	<ol><li>Huyện Aomori nổi tiếng với đặc sản là táo.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 土地[とち]	とち	587	土地		[sound:yomichan_audio_とち_土地.mp3]	đất đai	THỔ ĐỊA			 ＿ 柄[がら]、＿ 勘[かん]<br>	<br>											<ol><li>  土地[とち]を 買[か]って 家[いえ]を 建[た]てる。</li><li>  土地[とち]を 耕[たがや]す。</li><li>  旅行[りょこう]に 行[い]くと、その 土地[とち]の 名産[めいさん]を 買[か]ってくる。</li><li> 「ここは 初[はじ]めての 土地[とち]です」</li></ol>	<ol><li>Mua đất xây nhà.</li><li>Cày đất.</li><li>Khi đi du lịch, sẽ mua đặc sản của vùng đó về.</li><li>Đây là lần đầu tiên đến vùng đất này.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 倉庫[そうこ]	そうこ	588	倉庫		[sound:yomichan_audio_そうこ_倉庫.mp3]	kho	THƯƠNG KHỐ															<ol><li>  港[みなと]には 多[おお]くの 倉庫[そうこ]が 並[なら]んでいる。</li></ol>	<ol><li>Có rất nhiều kho ở cảng biển.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 所有[しょゆう]	しょゆう	589	所有		[sound:yomichan_audio_しょゆう_所有.mp3]	sở hữu	SỞ HỮU			 ＿ 者[しゃ]、＿ 物[ぶつ]、＿ 権[けん]<br>	<br>			  所持[しょじ]する<br>	<br>	  持[も]つ<br>	<br>					<ol><li>  山本家[やまもとけ]は 広[ひろ]い 畑[はたけ]を 所有[しょゆう]している。</li></ol>	<ol><li>Nhà Yamamoto sở hửu một cánh đồng rộng lớn.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
 収集[しゅうしゅう]	しゅうしゅう	590	収集		[sound:yomichan_audio_しゅうしゅう_収集.mp3]	thu thập	THU TẬP									  集[あつ]める<br>	<br>					<ol><li> ゴミは 可燃[かねん]・ 不燃[ふねん]に 分別[ぶんべつ]して 収集[しゅうしゅう]する 地域[ちいき]が 多[おお]い。</li><li>  趣味[しゅみ]は 切手[きって]を 収集[しゅうしゅう]です。</li></ol>	<ol><li>Có rất nhiều vùng phân chia rác cháy được và không cháy được rồi tập hợp lại.</li><li>Sở thích là sưu tập tem.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-7-bai-1.html	
