expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 追[お]いかける	おいかける	692	追いかける		[sound:yomichan_audio_おいかける_追いかける.mp3]	chạy theo, đuổi theo	TRUY							  追[お]う<br>	<br>							<ol><li>  犯人[はんにん]を 追[お]いかけたが、 逃[に]げられてしまった。</li><li> ｛スター/ 流行[りゅうこう]…｝を 追[お]いかける。</li></ol>	<ol><li>Đuổi theo tội phạm nhưng đã chạy thoát mất.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 追[お]いつく	おいつく	693	追いつく		[sound:yomichan_audio_おいつく_追いつく.mp3]	đuổi kịp	TRUY															<ol><li>  彼[かれ]は 足[あし]が 速[はや]いから、 今[いま]から 追[お]いかけても 追[お]いつかないだろう。</li><li>  斎藤[さいとう] 選手[せんしゅ]がゴールを 決[き]め、 同点[どうてん]に 追[お]いついた。</li><li> わが 社[しゃ]の 技術[ぎじゅつ]が 世界[せかい] 水準[すいじゅん]に 追[お]いつくには、5 年[ねん]はかかるだろう。</li></ol>	<ol><li>Anh ấy đi rất nhanh, giờ có đuổi theo cũng không đuổi kịp đâu.</li><li>Cầu thủ Saitou ghi điểm và đã cân bằng điểm số.</li><li>Kĩ thuật công ty chúng ta phải mất 5 năm để theo kịp với tiêu chuẩn thế giới.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 追[お]い 越[こ]す	おいこす	694	追い越す		[sound:yomichan_audio_おいこす_追い越す.mp3]	vượt qua (chạy vượt)	TRUY VIỆT							  追[お]い 抜[ぬ]く<br>	<br>	  抜[ぬ]く<br>	<br>			  追[お]い 越[こ]し<br>	<br>	<ol><li>  前[まえ]を 走[はし]る 選手[せんしゅ]に 追[お]いついたが、 追[お]い 越[こ]すことはできなかった。</li><li> のろのろ 走[はし]っている 前[まえ]の 車[くるま]を 追[お]い 越[こ]した。</li></ol>	<ol><li>Đã đuổi kịp vận động viên chạy trước tôi nhưng không thể vượt qua được.</li><li>Đã vượt qua chiếc ô tô chạy chậm phía trước.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 振[ふ]り 向[む]く	ふりむく	695	振り向く		[sound:yomichan_audio_ふりむく_振り向く.mp3]	ngoảnh mặt, nhìn quanh	CHẤN HƯỚNG							  振[ふ]り 返[かえ]る<br>	<br>							<ol><li>  名前[なまえ]を 呼[よ]ばれて、 振[ふ]り 向[む]いだ。</li><li>  後[うし]ろを 振[ふ]り 向[む]く。</li><li>  募金[ぼきん]を 訴[うった]えても、だれも 振[ふ]り 向[む]かなかった。</li><li>  教授[きょうじゅ]はふまじめな 学生[がくせい]には 振[ふ]り 向[む]いてくれない。</li></ol>	<ol><li>Ai đó gọi tên, tôi nhìn quanh xem ai.</li><li>Ngoái lại nhìn phía sau.</li><li>Kêu gọi quyên góp tiền nhưng không ai hưởng ứng.</li><li>Giáo sư không quan tâm với những học sinh không nghiêm túc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 捕[と]る・ 採[と]る・ 執[と]る	とる・とる・とる	696	捕る・採る・執る		[sound:yomichan_audio_とる_捕る.mp3]	lấy, tuyển dụng	BỘ THẢI CHẤP															<ol><li>  公園[こうえん]でセミを 捕[と]った。</li><li>  今年[ことし]は 新入[しんにゅう] 社員[しゃいん]を30 人[にん] 採[と]った。</li><li>  作戦[さくせん]の 指揮[しき]を 執[と]る。</li><li>  作家[さっか]は10 年[ねん]ぶりに 筆[ふで]を 執[と]った。</li><li>  彼[かれ]の 提案[ていあん]を 採[と]ることにした。</li></ol>	<ol><li>Bắt ve ở công viên.</li><li>Năm nay công ty tuyển dụng 30 nhân viên mới.</li><li>Nắm sự chỉ huy tác chiến.</li><li>Tác giả đã sáng tác 10 năm qua.</li><li>Tôi quyết định lấy dự án của anh ta.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 取[と]り 上[あ]げる	とりあげる	697	取り上げる		[sound:yomichan_audio_とりあげる_取り上げる.mp3]	nhặt lên, lấy, chọn	THỦ THƯỢNG															<ol><li>  彼女[かのじょ]は 机[つくえ]の 上[うえ]の 本[ほん]を 取[と]り 上[あ]げた。</li><li>  人身[じんしん] 事故[じこ]を 起[お]こした 運転手[うんてんしゅ]は 免許[めんきょ]を 取[と]り 上[あ]げられた。</li><li> ニュースでこの 事件[じけん]は 大[おお]きく 取[と]り 上[あ]げられた。</li></ol>	<ol><li>Cô ấy cầm quyển sách ở trên bàn.</li><li>Người lái xe gây ra tai nạn gây thương vong đã bị tước bằng lái.</li><li>Vụ án này đã được tin tức đăng rộng rãi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 取[と]り 入[い]れる	とりいれる	698	取り入れる		[sound:yomichan_audio_とりいれる_取り入れる.mp3]	nhặt vào, cho vào, thu hoạch	THỦ NHẬP															<ol><li>  洗濯物[せんたくもの]を 取[と]り 入[い]れる。</li><li>  会社[かいしゃ]は 消費者[しょうひしゃ]の 意見[いけん]を 取[と]り 入[い]れて、 容器[ようき]を 改良[かいりょう]した。</li></ol>	<ol><li>Lấy đồ giặt vào.</li><li>Công ty thu thập ý kiến của người tiêu dùng và cải tiến đồ đựng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 削[けず]る	けずる	699	削る		[sound:yomichan_audio_けずる_削る.mp3]	cắt, chuốt, gọt	TƯỚC							  削除[さくじょ]する、 削減[さくげん]する<br>	<br>							<ol><li> ナイフで 鉛筆[えんぴつ]を 削[けず]った。</li><li>  予算[よさん]を 削[けず]る。</li><li>  文章[ぶんしょう]の 一部[いちぶ]を 削[けず]る。</li><li>  名簿[めいぼ]から 名前[なまえ]を 削[けず]る。</li></ol>	<ol><li>Gọt bút chì bằng dao.</li><li>Cắt giảm ngân sách.</li><li>Cắt giảm một phần bài văn.</li><li>Cắt tên từ danh sách.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 縛[しば]る	しばる	700	縛る		[sound:yomichan_audio_しばる_縛る.mp3]	buộc, thắt	PHƯỢC			 しばりつける<br>	<br>									  縛[しば]り<br>	<br>	<ol><li>  古[ふる]い 雑誌[ざっし]を 重[かさ]ねてひもで 縛[しば]る。</li><li>  傷口[きずぐち]を 布[ぬの]で 縛[しば]って 出血[しゅっけつ]を 止[と]める。</li><li>  手足[てあし]を 縛[しば]って 動[うご]けないようにする。</li><li>  学生[がくせい]を 校則[こうそく]で 縛[しば]る。</li><li>  毎日[まいにち] 忙[いそが]しく、 時間[じかん]に 縛[しば]られている。</li></ol>	<ol><li>Dùng dây buộc tạp chí cũ lại.</li><li>Dùng vải buộc lại miệng vết thương để cầm máu.</li><li>Buộc chân tay lại không để cử động.</li><li>Học sinh bị bó buộc bởi quy định của trường học.</li><li>Mỗi ngày rất bận rộn nên bị bó buộc bởi thời gian.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
 絞[しぼ]る・ 搾[しぼ]る	しぼる・しぼる	701	絞る・搾る		[sound:yomichan_audio_しぼる_絞る.mp3]	vắt, bóp	GIẢO TRÁ			  絞[しぼ]りだす、ふり 絞[しぼ]る<br>	<br>			  絞[しぼ]り 取[と]る<br>	<br>							<ol><li>  水[みず]に 濡[ぬ]らしたタオルを 絞[しぼ]る。</li><li> ｛ 頭[あたま]/ 知恵[ちえ]｝を 絞[しぼ]る。</li><li>  声[こえ]をふり 絞[しぼ]って 応援[おうえん]した。</li><li> うるさいのでテレビの 音[おと]を 絞[しぼ]った。</li><li> うしの 乳[ちち]を 搾[しぼ]る。</li><li> ひまわりの 種[たね]  (A) 化ら 油[あぶら]を 搾[しぼ]る。</li><li>  仕事[しごと]でミスをして 上司[じょうし]に 絞[しぼ]られた。</li><li>  練習[れんしゅう]でコーチに 絞[しぼ]られた。</li></ol>	<ol><li>Vắt khăn bị ướt.</li><li></li><li>Ráng sức hét để cổ vũ.</li><li>Ồn tào nên đã tắt tiếng tivi.</li><li>Bắt sữa bò.</li><li>Vắt dầu từ hạt của hoa hướng dương.</li><li>Mắc sai lầm trong công việc nên bị sếp mắng.</li><li>Được huấn luyện viên uốn nắn trong luyện tập.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-2.html	
