expression	reading	index	kanji	illu	audio	meaning	hanviet	lien	liennghia	hop	hopnghia	doi	doinghia	loai	loainghia	quan	quannghia	quans	quansnghia	danh	danhnghia	vidu	vidunghia	source	english
 引[ひ]っ 掛[か]かる	ひっかかる	731	引っ掛かる		[sound:yomichan_audio_ひっかかる_引っかかる.mp3]	bị mắc vào, bị vướng vào,bị kéo vào, bị lừa	DẪN QUẢI							 だまされる<br>	<br>	  気[き]にかかる<br>	<br>					<ol><li>  山[やま]で 服[ふく]が 木[き]に 引[ひ]っかかって 破[やぶ]れてしまった。</li><li>  髪[かみ]が 痛[いた]んでいて、 指[ゆび]に 引[ひ]っかかる。</li><li>  血液[けつえき] 検査[けんさ]に 引[ひ]っかかった。</li><li> この 情報[じょうほう]はなんだか 引[ひ]っかかる。もう 少[すこ]し 調[しら]べてみよう。</li><li>  悪[わる]い 男[おとこ]に 引[ひ]っかかって、 彼女[かのじょ]は 全財産[ぜんざいさん]を 取[と]られてしまった。</li></ol>	<ol><li>Trên núi, áo bị mắc vào cây rách te tua.</li><li>Tóc đau vì bị tay vướng vào.</li><li>Đi kiểm tra máu.</li><li>Thông tin này có chút gì đó vướng mắc, hãy điều tra thêm chút nữa.</li><li>Vướng vào tên ác thú nên bị mất hết tài sản.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
 引[ひ]っ 掛[か]ける	ひっかける	732	引っ掛ける		[sound:yomichan_audio_ひっかける_引っ掛ける.mp3]	mắc, lừa đảo, ném vào	DẪN QUẢI							 だます<br>	<br>							<ol><li>  釘[くぎ]に 服[ふく]をひっかけて 破[やぶ]ってしまった。</li><li> ちょっと 寒[さむ]かったのか、 弟[おとうと]は 上着[うわぎ]をひっかけてコンビニに 買[か]い 物[もの]に 行[い]った。</li><li> サンダルはひっかけているだけなので 脱[ぬ]げやすい。</li><li>  雨[あめ]の 日[ひ]、 走[はし]ってきた 車[くるま]に 泥水[どろみず]をひっかけられた。</li><li>  映画[えいが]の 中[なか]で 女[おんな]が 男[おとこ]にコップの 水[みず]を 頭[あたま]からひっかけるシーンがあった。</li><li> 「 悪[わる]い 男[おとこ]にひっかけられないようにね」</li></ol>	<ol><li>Mắc áo vào đinh nên bị rách.</li><li>Có chút lạnh hay sao mà em trai tôi mặc áo khoác và đi đến cửa hàng tiện lợi mua hàng.</li><li>Chỉ mang giày sandanl thôi nên rất dễ cởi ra.</li><li>Vào những ngày mưa, bị bắn nước bẩn bởi ô tô chạy ngang.</li><li>Trong bộ phim có cảnh người đàn ông bị người phụ nữ dội nước từ trên đầu xuống.</li><li>Không dính dáng vào những người đàn ông xấu xa nhé.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
ひっくり 返[かえ]る	ひっくりかえる	733	ひっくり返る		[sound:yomichan_audio_ひっくりかえる_ひっくり返る.mp3]	bị lật, bị đảo ngược, hỗn loạn	PHẢN															<ol><li> ボートが 波[なみ]でひっくりかえって 上下[じょうげ]さかさまになった。</li><li>  世[よ]の 中[なか]がひっくり 返[かえ]るような 事件[じけん]が 起[お]こった。</li><li>  滑[すべ]って 仰向[あおむ]けにひっくり 返[かえ]った。</li><li> ベッドにひっくり 返[かえ]って 本[ほん]を 読[よ]むのが 楽[たの]しみだ。</li><li> まだ 引[ひ]っ 越[こ]ししたばかりで、 家中[いえじゅう]ひっくり 返[かえ]っている。</li></ol>	<ol><li>Thuyền bị sóng đánh cứ dập dềnh lên xuống.</li><li>Xảy ra những sự kiện đảo ngược xã hội.</li><li>Bị trượt ngã nên nằm nữa.</li><li>Nằm ngửa trên giường và đọc sách rất thú vị.</li><li>Vừa mới chuyển nhà nên trong nhà cứ đảo ngược cả lên.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
ひっくり 返[かえ]す	ひっくりかえす	734	ひっくり返す		[sound:yomichan_audio_ひっくりかえす_ひっくり返す.mp3]	đảo ngược, lật ngửa	PHẢN															<ol><li>  魚[さかな]をひっくり 返[かえ]して 焼[や]く。</li><li> この 箱[はこ]をひっくり 返[かえ]して 机[つくえ]の 代[か]わりにしよう。</li><li>  机[つくえ]の 上[うえ]のコーヒーをうっかりひっくり 返[かえ]してしまった。</li><li> ポケットをひっくり 返[かえ]して 切符[きっぷ]を 探[さが]したが 見[み]つからなかった。</li></ol>	<ol><li>Lật ngược con cá lại và nướng.</li><li>Lật úp cái hộp để làm thay cái bàn.</li><li>Lỡ đãng làm lật úp li cà phê trên bàn.</li><li>Lộn ngược cả túi để tìm vé nhưng không tìm ra.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
ずれる	ずれる	735	ずれる		[sound:yomichan_audio_ずれる.mp3]	trượt, đi chệch														 ずれ→＿がある＜＝＞ない<br>	<br>	<ol><li>  地震[じしん]で 鉄道[てつどう]のレールがずれた。</li><li>  写真[しゃしん]を 撮[と]るとき、ピントがずれてしまった。</li><li>  彼[かれ]の 考[かんが]え 方[かた]は 一般[いっぱん]から 少[すこ]しずれている。</li><li> やることがいつの 間[ま]にか 本来[ほんらい]の 目的[もくてき]からずれてしまった。</li></ol>	<ol><li>Do động đất nên xe điện bị trượt đường ray.</li><li>Khi chụp ảnh tôi đã không tập trung.</li><li>Cách suy nghĩ của anh ấy có chút khác với thông thường.</li><li>Điều đang làm đến một lúc nào đó đã rời xa mục đích ban đầu.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
ずらす	ずらす	736	ずらす		[sound:yomichan_audio_ずらす_滑らす.mp3]	rời ra, lùi ra, hoãn lại																<ol><li>  机[つくえ]を 少[すこ]しずらして 床[ゆか]を 掃除[そうじ]した。</li><li>  帽子[ぼうし]を 斜[なな]めにずらしてかぶった。</li><li>  旅行[りょこう]の 予定[よてい]を１ 週間[しゅうかん]ずらした。</li><li> 「 論点[ろんてん]をずらさずに、きちんと 答[こた]えてください」</li></ol>	<ol><li>Dịch bàn ra một chút để lau chùi sàn nhà.</li><li>Đội mũ lệch sang một chút.</li><li>Lệch 1 tuần do với dự kiến du lịch.</li><li>Đừng lãng tránh luận điểm nghị luận hãy trả lời một cách nghiêm túc.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
 崩[くず]れる	くずれる	737	崩れる		[sound:yomichan_audio_くずれる_崩れる.mp3]	sụp đổ	BĂNG									  壊[こわ]れる、 崩壊[ほうかい]する<br>	<br>			  崩[くず]れ<br>	<br>	<ol><li>  大雨[おおあめ]で 山[やま]が 崩[くず]れた。</li><li> ｛ 天気[てんき]・ 天候[てんこう]/バランス/ 姿勢[しせい]・ 態勢[たいせい]/ 体制[たいせい]/ 化粧[けしょう]…｝が 崩[くず]れる。</li></ol>	<ol><li>Do mưa lớn nên núi bị sạt lở.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
 崩[くず]す	くずす	738	崩す		[sound:yomichan_audio_くずす_崩す.mp3]	phá	BĂNG									  壊[こわ]す<br>	<br>					<ol><li>  山[やま]を 崩[くず]して 住宅地[じゅうたくち]が 造[つく]られている。</li><li> ｛バランス/ 体調[たいちょう]/ 調子[ちょうし]・ペース/ 姿勢[しせい]・ 態勢[たいせい]/ 足[あし]/ 表情[ひょうじょう]/お 金[かね]…｝を 崩[くず]す。</li></ol>	<ol><li>Phá núi để làm nhà.</li><li></li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
 荒[あ]れる	あれる	739	荒れる		[sound:yomichan_audio_あれる_荒れる.mp3]	bão bùng, hỗn loạn	HOANG			  大荒[おおあ]れ、 荒[あ]れ 模様[もよう]<br>	<br>											<ol><li>  台風[たいふう]の 接近[せっきん]で 山[やま]も 海[うみ]も 荒[あ]れている。</li><li>  荒[あ]れた 天気[てんき]</li><li> ｛ 会議[かいぎ]/ 試合[しあい]…｝が 荒[あ]れる。</li><li>  戦争[せんそう]で 国[くに]があれる。</li><li>  洗剤[せんざい]で 手[て]が 荒[あ]れる。</li><li>  薬[くすり]の 飲[の]み 過[す]ぎで 胃[い]が 荒[あ]れる。</li><li>  酒[さけ]を 飲[の]んで 荒[あ]れる。</li><li>  荒[あ]れた 生活[せいかつ]</li></ol>	<ol><li>Do sự tiếp cận của bão nên núi và biển đều động.</li><li>Thời tiết động</li><li></li><li>Do chiến tranh nên đất nước hỗn loạn.</li><li>Do xà phòng nên tay bị thô.</li><li>Do uống nhiều thuốc nên bụng cồn cào.</li><li>Uống rượu nên choáng váng.</li><li>Cuộc sống bão bùng.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
 荒[あ]らす	あらす	740	荒らす		[sound:yomichan_audio_あらす_荒らす.mp3]	tàn phá, gây thiệt hại, phá hoại	HOANG															<ol><li>  泥棒[どろぼう]が 入[はい]られ、 部屋[へや]が 荒[あ]らされた。</li><li> ｛ 国[くに]/ 肌[はだ]/ 胃[い]…｝を 荒[あ]らす。</li><li> 「これは 私[わたし]のものだと 認[みと]めます」</li></ol>	<ol><li>Trộm vào làm loạn tung cả phòng lên.</li><li></li><li>Tôi nhận cái này là của tôi.</li></ol>	https://www.vnjpclub.com/mimi-kara-n2-goi/unit-8-bai-5.html	
