cau	nghia	cautruc	giaithich	nguphap	nghianguphap	url
1.&nbsp;&nbsp;<ruby>子<rp>（</rp><rt>こ</rt><rp>）</rp></ruby>どもが<ruby>習<rp>（</rp><rt>なら</rt><rp>）</rp></ruby>いたいというので、ピアノを<ruby>習<rp>（</rp><rt>なら</rt><rp>）</rp></ruby>わせることにした。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nghe con muốn học, tôi đã quyết định cho nó học piano.		▲▽ Sự cho phép, sự chấp thuận, xin phép.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
2.&nbsp;&nbsp;アルバイトをしたいのだが、<ruby>親<rp>（</rp><rt>おや</rt><rp>）</rp></ruby>が<ruby>高校生<rp>（</rp><rt>こうこうせい</rt><rp>）</rp></ruby>の<ruby>間<rp>（</rp><rt>あいだ</rt><rp>）</rp></ruby>はだめだと<ruby>言<rp>（</rp><rt>い</rt><rp>）</rp></ruby>って、させてくれない。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tôi muốn đi làm thêm nhưng, bố mẹ nói khi còn là học sinh trung học thì không được và không cho tôi làm.		▲▽ Sự cho phép, sự chấp thuận, xin phép.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
3.&nbsp;&nbsp;<ruby>子<rp>（</rp><rt>こ</rt><rp>）</rp></ruby>どものころ、<ruby>親<rp>（</rp><rt>おや</rt><rp>）</rp></ruby>にマンガを<ruby>読<rp>（</rp><rt>よ</rt><rp>）</rp></ruby>ませてもらえなかった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lúc bé bố mẹ không cho phép tôi đọc truyện tranh.		▲▽ Sự cho phép, sự chấp thuận, xin phép.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
1.&nbsp;&nbsp;<ruby>冷蔵庫<rp>（</rp><rt>れいぞうこ</rt><rp>）</rp></ruby>に<ruby>肉<rp>（</rp><rt>にく</rt><rp>）</rp></ruby>があるのを<ruby>忘<rp>（</rp><rt>わす</rt><rp>）</rp></ruby>れていて、<ruby>腐<rp>（</rp><rt>くさ</rt><rp>）</rp></ruby>らせてしまった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tôi quên không cho thịt vào tủ lạnh và nó bị thiu mất.		▲▽ Không định làm thế nhưng tạo ra hậu quả xấu.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
2.&nbsp;&nbsp;<ruby>子<rp>（</rp><rt>こ</rt><rp>）</rp></ruby>どもを<ruby>病気<rp>（</rp><rt>びょうき</rt><rp>）</rp></ruby>で<ruby>死<rp>（</rp><rt>し</rt><rp>）</rp></ruby>なせてしまった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Con tôi đã chết vì bệnh tật.		▲▽ Không định làm thế nhưng tạo ra hậu quả xấu.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
1.&nbsp;&nbsp;<ruby>母<rp>（</rp><rt>はは</rt><rp>）</rp></ruby>が<ruby>入院<rp>（</rp><rt>にゅういん</rt><rp>）</rp></ruby>したので、きょうは<ruby>仕事<rp>（</rp><rt>しごと</rt><rp>）</rp></ruby>を<ruby>休<rp>（</rp><rt>やす</rt><rp>）</rp></ruby>ませてもらった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Vì mẹ phải nhập viện, ngày hôm nay tôi được phép nghỉ việc.	使役形 +てもらう　など	▲▽ Nhận được sự cho phép, sự chấp thuận.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
2.&nbsp;&nbsp;「すみません、<ruby>体調<rp>（</rp><rt>たいちょう</rt><rp>）</rp></ruby>が<ruby>悪<rp>（</rp><rt>わる</rt><rp>）</rp></ruby>いので、<ruby>早<rp>（</rp><rt>はや</rt><rp>）</rp></ruby>く<ruby>帰<rp>（</rp><rt>かえ</rt><rp>）</rp></ruby>らせてください」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Xin lỗi. Vì tôi thấy không được khỏe, xin cho tôi được về nhà sớm.	使役形 +てもらう　など	▲▽ Nhận được sự cho phép, sự chấp thuận.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
3.&nbsp;&nbsp;「<ruby>先生<rp>（</rp><rt>せんせい</rt><rp>）</rp></ruby>がいらっしゃるまで、ここで<ruby>待<rp>（</rp><rt>ま</rt><rp>）</rp></ruby>たせてもらってもいいですか」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Cho đến khi thầy giáo đến, cho phép tôi đợi ở đây được không?	使役形 +てもらう　など	▲▽ Nhận được sự cho phép, sự chấp thuận.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
4.&nbsp;&nbsp;「すみません、ここに<ruby>荷物<rp>（</rp><rt>にもつ</rt><rp>）</rp></ruby>を<ruby>置<rp>（</rp><rt>お</rt><rp>）</rp></ruby>かせてもらえませんか」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Xin lỗi. Tôi có thể đặt hành lí ở đây được không?	使役形 +てもらう　など	▲▽ Nhận được sự cho phép, sự chấp thuận.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
5.&nbsp;&nbsp;「３<ruby>年<rp>（</rp><rt>ねん</rt><rp>）</rp></ruby>ほどアメリカの<ruby>工場<rp>（</rp><rt>こうじょう</rt><rp>）</rp></ruby>に<ruby>行<rp>（</rp><rt>い</rt><rp>）</rp></ruby>ってほしいんだが」「そのお<ruby>話<rp>（</rp><rt>はなし</rt><rp>）</rp></ruby>、<ruby>少<rp>（</rp><rt>すこ</rt><rp>）</rp></ruby>し<ruby>考<rp>（</rp><rt>かんが</rt><rp>）</rp></ruby>えさせていただけませんか」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Anh có thể đến nhà máy của Mỹ làm việc khoảng 3 năm được không?」「Về chuyện đó, hãy để tôi suy nghĩ thêm.」	使役形 +てもらう　など	▲▽ Nhận được sự cho phép, sự chấp thuận.	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
1.&nbsp;&nbsp;<ruby>私<rp>（</rp><rt>わたし</rt><rp>）</rp></ruby>の<ruby>家<rp>（</rp><rt>いえ</rt><rp>）</rp></ruby>は<ruby>貧<rp>（</rp><rt>まず</rt><rp>）</rp></ruby>しかったが、<ruby>親<rp>（</rp><rt>おや</rt><rp>）</rp></ruby>は<ruby>私<rp>（</rp><rt>わたし</rt><rp>）</rp></ruby>を<ruby>大学<rp>（</rp><rt>だいがく</rt><rp>）</rp></ruby>まで<ruby>行<rp>（</rp><rt>い</rt><rp>）</rp></ruby>かせてくれた。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Nhà tôi nghèo nhưng bố mẹ đã trợ cấp tôi đến đại học.	使役形 +てもらう　など	▲▽ Được làm giúp, cảm thấy biết ơn	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
2.&nbsp;&nbsp;けがをして<ruby>手<rp>（</rp><rt>て</rt><rp>）</rp></ruby>が<ruby>使<rp>（</rp><rt>つか</rt><rp>）</rp></ruby>えないので、<ruby>姉<rp>（</rp><rt>あね</rt><rp>）</rp></ruby>にごはんを<ruby>食<rp>（</rp><rt>た</rt><rp>）</rp></ruby>べさせてもらった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Vì tôi bị thương không sử dụng tay được nên chị tôi đã giúp cho tôi ăn.	使役形 +てもらう　など	▲▽ Được làm giúp, cảm thấy biết ơn	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
3.&nbsp;&nbsp;<ruby>電車<rp>（</rp><rt>でんしゃ</rt><rp>）</rp></ruby>の<ruby>中<rp>（</rp><rt>なか</rt><rp>）</rp></ruby>で<ruby>急<rp>（</rp><rt>きゅう</rt><rp>）</rp></ruby>に<ruby>倒<rp>（</rp><rt>たお</rt><rp>）</rp></ruby>れそうになり、<ruby>前<rp>（</rp><rt>まえ</rt><rp>）</rp></ruby>にいた<ruby>人<rp>（</rp><rt>ひと</rt><rp>）</rp></ruby>に<ruby>頼<rp>（</rp><rt>たの</rt><rp>）</rp></ruby>んで、<ruby>座<rp>（</rp><rt>すわ</rt><rp>）</rp></ruby>らせてもらった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Trên xe điện đột nhiên tôi suýt ngã. Tôi đã nhờ người phía trước và được phép ngồi nhờ.	使役形 +てもらう　など	▲▽ Được làm giúp, cảm thấy biết ơn	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
4.&nbsp;&nbsp;「きょうはすばらしいお<ruby>話<rp>（</rp><rt>はなし</rt><rp>）</rp></ruby>を<ruby>聞<rp>（</rp><rt>き</rt><rp>）</rp></ruby>かせていただき、<ruby>本当<rp>（</rp><rt>ほんとう</rt><rp>）</rp></ruby>にありがとうございます」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Ngày hôm nay tôi đã được nghe câu chuyện tuyệt vời. Tôi thật sự cảm ơn anh.」	使役形 +てもらう　など	▲▽ Được làm giúp, cảm thấy biết ơn	使役形を使った表現 - Sử dụng thể sai khiến		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-11.html
