cau	nghia	cautruc	giaithich	nguphap	nghianguphap	url
1.&nbsp;&nbsp;<ruby>森林<rp>（</rp><rt>しんりん</rt><rp>）</rp></ruby>の<ruby>伐採<rp>（</rp><rt>ばっさい</rt><rp>）</rp></ruby>により、<ruby>世界<rp>（</rp><rt>せかい</rt><rp>）</rp></ruby><ruby>各地<rp>（</rp><rt>かくち</rt><rp>）</rp></ruby>で<ruby>砂漠化<rp>（</rp><rt>さばくか</rt><rp>）</rp></ruby><ruby>現象<rp>（</rp><rt>げんしょう</rt><rp>）</rp></ruby>が<ruby>起<rp>（</rp><rt>お</rt><rp>）</rp></ruby>こっている。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Do việc chặt phá rừng, hiện tượng sa mạc hóa đang xảy ra ở khắp nơi trên thế giới.	N + による／より／よって／よっては	▲▽ Chỉ nguyên nhân, lí do	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
2.&nbsp;&nbsp;<ruby>今度<rp>（</rp><rt>こんど</rt><rp>）</rp></ruby>の<ruby>台風<rp>（</rp><rt>たいふう</rt><rp>）</rp></ruby>による<ruby>被害<rp>（</rp><rt>ひがい</rt><rp>）</rp></ruby>は１<ruby>億円<rp>（</rp><rt>おくえん</rt><rp>）</rp></ruby>に<ruby>上<rp>（</rp><rt>のぼ</rt><rp>）</rp></ruby>る。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Thiệt hại do cơn bão lần này là trên 100 triệu yên.	N + による／より／よって／よっては	▲▽ Chỉ nguyên nhân, lí do	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
3.&nbsp;&nbsp;<ruby>少子化<rp>（</rp><rt>しょうしか</rt><rp>）</rp></ruby>は<ruby>結婚<rp>（</rp><rt>けっこん</rt><rp>）</rp></ruby><ruby>年齢<rp>（</rp><rt>ねんれい</rt><rp>）</rp></ruby>が<ruby>上<rp>（</rp><rt>あ</rt><rp>）</rp></ruby>がったことによるといわれている。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Người ta nói rằng dân số già đi do tuổi kết hôn tăng.	N + による／より／よって／よっては	▲▽ Chỉ nguyên nhân, lí do	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
1.&nbsp;&nbsp;インターネットによって<ruby>瞬時<rp>（</rp><rt>しゅんじ</rt><rp>）</rp></ruby>に<ruby>大量<rp>（</rp><rt>たいりょう</rt><rp>）</rp></ruby>の<ruby>情報<rp>（</rp><rt>じょうほう</rt><rp>）</rp></ruby>が<ruby>得<rp>（</rp><rt>え</rt><rp>）</rp></ruby>られるようになった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Đã có thể có được một lượng lớn các thông tin trong nháy mắt nhờ truy cập internet.	N + による／より／よって／よっては	▲▽ Cách làm, phương pháp	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
2.&nbsp;&nbsp;<ruby>電話<rp>（</rp><rt>でんわ</rt><rp>）</rp></ruby>によるお<ruby>問<rp>（</rp><rt>と</rt><rp>）</rp></ruby>い<ruby>合<rp>（</rp><rt>あ</rt><rp>）</rp></ruby>わせはご<ruby>遠慮<rp>（</rp><rt>えんりょ</rt><rp>）</rp></ruby>ください。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Vui lòng đừng gọi điện thoại.	N + による／より／よって／よっては	▲▽ Cách làm, phương pháp	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
1.&nbsp;&nbsp;<ruby>成績<rp>（</rp><rt>せいせき</rt><rp>）</rp></ruby>によってクラスを<ruby>決<rp>（</rp><rt>き</rt><rp>）</rp></ruby>める。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Việc phân lớp dựa vào thành tích.	N + による／より／よって／よっては	▲▽ Dựa vào ~	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
2.&nbsp;&nbsp;<ruby>目撃者<rp>（</rp><rt>もくげきしゃ</rt><rp>）</rp></ruby>の<ruby>証言<rp>（</rp><rt>しょうげん</rt><rp>）</rp></ruby>により、<ruby>犯人<rp>（</rp><rt>はんにん</rt><rp>）</rp></ruby>が<ruby>逮捕<rp>（</rp><rt>たいほ</rt><rp>）</rp></ruby>された。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Thủ phạm đã bị bắt dựa vào lời làm chứng của người chứng kiến.	N + による／より／よって／よっては	▲▽ Dựa vào ~	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
3.&nbsp;&nbsp;<ruby>国籍<rp>（</rp><rt>こくせき</rt><rp>）</rp></ruby>や<ruby>性別<rp>（</rp><rt>せいべつ</rt><rp>）</rp></ruby>による<ruby>差別<rp>（</rp><rt>さべつ</rt><rp>）</rp></ruby>は<ruby>許<rp>（</rp><rt>ゆる</rt><rp>）</rp></ruby>せない。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Việc phân biệt giới tính và quốc tịch là không thể chấp nhận được.	N + による／より／よって／よっては	▲▽ Dựa vào ~	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
1.&nbsp;&nbsp;<ruby>文化<rp>（</rp><rt>ぶんか</rt><rp>）</rp></ruby>や<ruby>法律<rp>（</rp><rt>ほうりつ</rt><rp>）</rp></ruby>は<ruby>国<rp>（</rp><rt>くに</rt><rp>）</rp></ruby>によって<ruby>違<rp>（</rp><rt>ちが</rt><rp>）</rp></ruby>う。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Văn hóa và pháp luật của mỗi quốc gia là khác nhau.	N + による／より／よって／よっては	▲▽ Nếu ~ khác thì... cũng khác	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
2.&nbsp;&nbsp;<ruby>人<rp>（</rp><rt>ひと</rt><rp>）</rp></ruby>により、この<ruby>商品<rp>（</rp><rt>しょうひん</rt><rp>）</rp></ruby>の<ruby>評価<rp>（</rp><rt>ひょうか</rt><rp>）</rp></ruby>は<ruby>分<rp>（</rp><rt>わ</rt><rp>）</rp></ruby>かれる。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Việc đánh giá sản phẩm này của mỗi ngưới là khác nhau.	N + による／より／よって／よっては	▲▽ Nếu ~ khác thì... cũng khác	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
3.&nbsp;&nbsp;あの<ruby>人<rp>（</rp><rt>ひと</rt><rp>）</rp></ruby>の<ruby>言<rp>（</rp><rt>い</rt><rp>）</rp></ruby>うことは<ruby>日<rp>（</rp><rt>ひ</rt><rp>）</rp></ruby>によって<ruby>変<rp>（</rp><rt>か</rt><rp>）</rp></ruby>わる。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Lời nói của người đó thay đổi theo từng ngày.	N + による／より／よって／よっては	▲▽ Nếu ~ khác thì... cũng khác	～による／より／よって／よっては		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-38.html
