cau	nghia	cautruc	giaithich	nguphap	nghianguphap	url
1.&nbsp;&nbsp;「<ruby>星<rp>（</rp><rt>ほし</rt><rp>）</rp></ruby>がたくさん<ruby>出<rp>（</rp><rt>で</rt><rp>）</rp></ruby>ている。あしたも<ruby>晴<rp>（</rp><rt>は</rt><rp>）</rp></ruby>れみたい」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Trên trời có nhiều sao. Ngày mai có vẻ cũng rất đẹp trời」	N + みたいだ, tính từ/động từ ở thể thông thường + みたいだ, riêng tính từ な không có だ	▲▽ Phỏng đoán (không rõ ràng nhưng ~ có vẻ như là ~)	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
2.&nbsp;&nbsp;「あの<ruby>店<rp>（</rp><rt>みせ</rt><rp>）</rp></ruby>、<ruby>人気<rp>（</rp><rt>にんき</rt><rp>）</rp></ruby>がないみたいだね。いつ<ruby>行<rp>（</rp><rt>い</rt><rp>）</rp></ruby>ってもすいている」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Cửa hàng này có vẻ không nổi tiếng lắm. Lúc nào đến cũng thấy vắng vẻ」	N + みたいだ, tính từ/động từ ở thể thông thường + みたいだ, riêng tính từ な không có だ	▲▽ Phỏng đoán (không rõ ràng nhưng ~ có vẻ như là ~)	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
3.&nbsp;&nbsp;「おとうさん、すごく<ruby>怒<rp>（</rp><rt>おこ</rt><rp>）</rp></ruby>っているみたいだから、<ruby>近<rp>（</rp><rt>ちか</rt><rp>）</rp></ruby>づかないほうがいいよ」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Bố có vẻ đang cực kỳ giận. Vì vậy không nên lại gần.」	N + みたいだ, tính từ/động từ ở thể thông thường + みたいだ, riêng tính từ な không có だ	▲▽ Phỏng đoán (không rõ ràng nhưng ~ có vẻ như là ~)	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
4.&nbsp;&nbsp;「<ruby>風邪<rp>（</rp><rt>かぜ</rt><rp>）</rp></ruby>をひいたみたいなんです。きのうから、のどが<ruby>痛<rp>（</rp><rt>いた</rt><rp>）</rp></ruby>くて」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Có vẻ mình bị cảm rồi. Từ hôm qua thấy đau họng」	N + みたいだ, tính từ/động từ ở thể thông thường + みたいだ, riêng tính từ な không có だ	▲▽ Phỏng đoán (không rõ ràng nhưng ~ có vẻ như là ~)	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
5.&nbsp;&nbsp;「オウさん、このごろやせたみたい。どうかしたの」「ううん、なんでもない」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Ou này, dạo này có vẻ bạn gầy đi. Sao vậy?」「Không. Không có gì」	N + みたいだ, tính từ/động từ ở thể thông thường + みたいだ, riêng tính từ な không có だ	▲▽ Phỏng đoán (không rõ ràng nhưng ~ có vẻ như là ~)	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
6.&nbsp;&nbsp;「<ruby>今井君<rp>（</rp><rt>いまいくん</rt><rp>）</rp></ruby>はもう<ruby>帰<rp>（</rp><rt>かえ</rt><rp>）</rp></ruby>ったのかな」「みたいだね。かばんがないから」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Giờ bé I đã về rồi nhỉ」「Có vẻ thế. Vì không thấy cặp của nó nữa.」	N + みたいだ, tính từ/động từ ở thể thông thường + みたいだ, riêng tính từ な không có だ	▲▽ Phỏng đoán (không rõ ràng nhưng ~ có vẻ như là ~)	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
1.&nbsp;&nbsp;<ruby>宝<rp>（</rp><rt>たから</rt><rp>）</rp></ruby>くじで１０００<ruby>万円<rp>（</rp><rt>まんえん</rt><rp>）</rp></ruby><ruby>当<rp>（</rp><rt>あ</rt><rp>）</rp></ruby>たった。<ruby>夢<rp>（</rp><rt>ゆめ</rt><rp>）</rp></ruby>（を<ruby>見<rp>（</rp><rt>み</rt><rp>）</rp></ruby>ている）みたいだ。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Tôi đã trúng xổ số 1000 vạn yên. Giống như đang mơ vậy.	N　・　V　普通形	▲▽ Giống như là, cứ như là... (nhưng sự thực không phải thế).	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
2.&nbsp;&nbsp;「あの<ruby>雲<rp>（</rp><rt>くも</rt><rp>）</rp></ruby>、<ruby>見<rp>（</rp><rt>み</rt><rp>）</rp></ruby>て。ゾウみたいな<ruby>形<rp>（</rp><rt>かたち</rt><rp>）</rp></ruby>だよ」「ほんとだ」	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;「Đám mây kia có hình giống như con voi nhỉ」「Đúng thế」	N　・　V　普通形	▲▽ Giống như là, cứ như là... (nhưng sự thực không phải thế).	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
3.&nbsp;&nbsp;<ruby>兄<rp>（</rp><rt>あに</rt><rp>）</rp></ruby>はすぐに<ruby>泣<rp>（</rp><rt>な</rt><rp>）</rp></ruby>いたり<ruby>怒<rp>（</rp><rt>おこ</rt><rp>）</rp></ruby>ったり<ruby>笑<rp>（</rp><rt>わら</rt><rp>）</rp></ruby>ったりする。まったく、<ruby>子<rp>（</rp><rt>こ</rt><rp>）</rp></ruby>どもみたいだ。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Anh tôi rất dễ khóc, giận, cười. Như trẻ con vậy.	N　・　V　普通形	▲▽ Giống như là, cứ như là... (nhưng sự thực không phải thế).	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
4.&nbsp;&nbsp;ホームステイ<ruby>先<rp>（</rp><rt>さき</rt><rp>）</rp></ruby>の<ruby>家族<rp>（</rp><rt>かぞく</rt><rp>）</rp></ruby>はみんなやさしくて、<ruby>自分<rp>（</rp><rt>じぶん</rt><rp>）</rp></ruby>の<ruby>家<rp>（</rp><rt>いえ</rt><rp>）</rp></ruby>にいるみたいだった。	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mọi người trong gia đình Homestay thật thân thiện. Làm tôi thấy cứ như ở nhà vậy.	N　・　V　普通形	▲▽ Giống như là, cứ như là... (nhưng sự thực không phải thế).	～みたいだ		https://www.vnjpclub.com/mimi-kara-n3-bunpo/np-5.html
